"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error"
"Population 16 years and over with earnings","98,362","±1,411","50,093","±931","48,269","±1,065"
"Median earnings (dollars)","22,161","±581","25,097","±924","20,540","±750"
"Full-time, year-round workers with earnings","51,689","±1,313","28,505","±779","23,184","±883"
"    $1 to $9,999 or loss","3.1%","±0.6","3.2%","±0.8","3.0%","±0.9"
"    $10,000 to $14,999","4.9%","±0.8","4.5%","±0.8","5.4%","±1.3"
"    $15,000 to $24,999","17.4%","±1.1","15.5%","±1.5","19.6%","±1.5"
"    $25,000 to $34,999","20.9%","±1.2","20.5%","±1.7","21.5%","±1.9"
"    $35,000 to $49,999","24.5%","±1.2","23.3%","±1.6","25.9%","±1.9"
"    $50,000 to $64,999","13.7%","±1.0","14.4%","±1.3","12.7%","±1.6"
"    $65,000 to $74,999","4.9%","±0.6","5.9%","±0.9","3.7%","±0.7"
"    $75,000 to $99,999","5.7%","±0.6","6.3%","±0.8","5.1%","±0.9"
"    $100,000 or more","4.9%","±0.7","6.3%","±1.0","3.1%","±0.7"
"Median earnings (dollars)","(X)","(X)","38,870","±1,472","35,189","±987"
"Mean earnings (dollars)","45,166","±1,341","49,353","±2,171","40,019","±1,125"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","28,546","±1,040","30,756","±684","26,312","±1,023"
"        Less than high school graduate","16,143","±876","16,679","±1,029","15,073","±1,521"
"        High school graduate (includes equivalency)","23,459","±1,384","26,313","±1,253","20,255","±1,442"
"        Some college or associate's degree","27,129","±1,053","30,351","±930","24,430","±1,879"
"        Bachelor's degree","36,878","±1,745","43,279","±2,826","33,304","±2,019"
"        Graduate or professional degree","54,061","±2,447","60,528","±3,797","49,557","±2,478"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","13.7%","(X)","(X)","(X)","(X)","(X)"
