ID Geography,Geography,Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019),Population (2020),Population (2021)
"05000US01001","Autauga County, AL",54907,55136,55221,55049,55036,55200,55380,55639,58239
"05000US01003","Baldwin County, AL",187114,191205,195121,199510,203360,208107,212830,218289,227131
"05000US01005","Barbour County, AL",27321,27119,26932,26614,26201,25782,25361,25026,25259
"05000US01007","Bibb County, AL",22754,22653,22604,22572,22580,22527,22493,22374,22412
"05000US01009","Blount County, AL",57623,57645,57710,57704,57667,57645,57681,57755,58884
"05000US01011","Bullock County, AL",10746,10693,10678,10552,10478,10352,10248,10173,10386
"05000US01013","Butler County, AL",20624,20523,20354,20280,20126,20025,19828,19726,19181
"05000US01015","Calhoun County, AL",117714,117186,116648,115883,115527,115098,114618,114324,116425
"05000US01017","Chambers County, AL",34145,34091,34079,34018,33895,33826,33660,33427,34834
"05000US01019","Cherokee County, AL",26034,26042,26008,25897,25855,25853,25903,26035,24975
"05000US01021","Chilton County, AL",43744,43781,43819,43817,43805,43930,44055,44147,44857
"05000US01023","Choctaw County, AL",13687,13546,13395,13287,13188,13075,12925,12755,12792
"05000US01025","Clarke County, AL",25573,25331,25070,24847,24625,24387,24128,23866,23346
"05000US01027","Clay County, AL",13703,13617,13537,13483,13407,13378,13337,13285,14184
"05000US01029","Cleburne County, AL",14945,14990,15002,14991,14939,14938,14916,14952,15046
"05000US01031","Coffee County, AL",50468,50726,50884,50991,51073,51288,51662,52238,53043
"05000US01033","Colbert County, AL",54456,54491,54444,54377,54435,54495,54771,54957,56789
"05000US01035","Conecuh County, AL",13104,12985,12865,12697,12649,12514,12394,12219,11778
"05000US01037","Coosa County, AL",11198,11247,11027,10864,10955,10855,10757,10696,10442
"05000US01039","Covington County, AL",37847,37881,37886,37729,37519,37351,37200,37096,37490
"05000US01041","Crenshaw County, AL",13955,13938,13938,13896,13866,13865,13844,13826,13300
"05000US01043","Cullman County, AL",80499,80668,80965,81316,81703,82313,82853,83345,87129
"05000US01045","Dale County, AL",50102,50013,49866,49607,49393,49255,49277,49293,49443
"05000US01047","Dallas County, AL",43091,42743,42154,41426,40755,40029,39149,38184,39162
"05000US01049","DeKalb County, AL",71076,71074,71068,70937,71194,71200,71310,71430,71554
"05000US01051","Elmore County, AL",79895,80321,80763,80957,80989,81212,81144,81526,87146
"05000US01053","Escambia County, AL",38169,38042,37935,37875,37621,37328,37057,36775,36879
"05000US01055","Etowah County, AL",104260,104126,103766,103363,103132,102939,102748,102721,103468
"05000US01057","Fayette County, AL",17110,17019,16896,16783,16657,16585,16494,16406,16365
"05000US01059","Franklin County, AL",31666,31663,31634,31573,31507,31542,31466,31587,32034
"05000US01061","Geneva County, AL",26791,26816,26815,26765,26572,26491,26417,26383,26604
"05000US01063","Greene County, AL",8934,8798,8697,8587,8533,8426,8324,8221,7851
"05000US01065","Hale County, AL",15594,15393,15256,15159,14995,14887,14809,14754,14819
"05000US01067","Henry County, AL",17308,17270,17252,17187,17110,17124,17133,17123,17165
"05000US01069","Houston County, AL",102326,103079,103534,103891,104108,104352,104702,105319,106355
"05000US01071","Jackson County, AL",53171,53012,52860,52608,52326,52094,51852,51765,52548
"05000US01073","Jefferson County, AL",658552,658834,659026,659096,659460,659892,659680,658615,672550
"05000US01075","Lamar County, AL",14396,14268,14133,14066,14021,13933,13885,13854,13929
"05000US01077","Lauderdale County, AL",92666,92780,92737,92641,92590,92585,92556,92870,93342
"05000US01079","Lawrence County, AL",34009,33835,33586,33433,33288,33171,33058,32969,33089
"05000US01081","Lee County, AL",144405,147790,150982,153947,156597,159287,161152,163461,172223
"05000US01083","Limestone County, AL",85264,87167,88805,90257,91695,93052,94727,96921,101217
"05000US01085","Lowndes County, AL",11086,10918,10742,10565,10362,10236,10079,9936,10334
"05000US01087","Macon County, AL",20803,20505,20018,19684,19358,19054,18708,18437,19490
"05000US01089","Madison County, AL",339279,343229,346438,349973,353213,357560,362276,367686,382149
"05000US01091","Marengo County, AL",20669,20489,20306,20066,19743,19538,19321,19138,19397
"05000US01093","Marion County, AL",30615,30527,30387,30239,30058,29965,29866,29818,29392
