ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2021,"2021","04000US26","Michigan",860,213.56029593536343,0.7032902192086745,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",47465,7172,1241,-30.701047542304593,41719,13.773100985162637,0.845125786163522
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2021,"2021","04000US26","Michigan",20,40.45985664828782,0.04291644313526904,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",,,0,Infinity,,NaN,0.019654088050314468
1,"Construction (Group)",2,"Construction",2021,"2021","04000US26","Michigan",4938,734.6026136626523,0.713188051118646,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",67962,12310,4752,3.9141414141414144,61890,9.81095492001939,4.852594339622642
2,"Manufacturing (Group)",3,"Manufacturing",2021,"2021","04000US26","Michigan",16606,997.2106096507399,1.628270129460164,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",77430,4082,16508,0.5936515628786043,71455,8.361906094744946,16.3187893081761
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2021,"2021","04000US26","Michigan",3549,496.9597569220268,1.4025115907464012,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",80879,12099,3449,2.8993911278631486,78369,3.2027970243336013,3.4876179245283017
4,"Retail Trade (Group)",5,"Retail Trade",2021,"2021","04000US26","Michigan",10570,847.2602905837143,0.9482821731069209,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",50921,4713,10131,4.333234626394235,48716,4.526233680926184,10.387185534591195
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2021,"2021","04000US26","Michigan",3581,440.9228957538948,0.7295338710372954,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",76500,13349,3105,15.33011272141707,70995,7.754067187830128,3.5190644654088046
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2021,"2021","04000US26","Michigan",377,137.05838172107534,0.4461036795255888,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",128588,24445,262,43.89312977099237,122188,5.2378302288277085,0.37047955974842767
6,"Information (Group)",8,"Information",2021,"2021","04000US26","Michigan",1725,273.67316273248275,0.8808444488701793,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",83633,21066,1911,-9.733124018838305,80904,3.3731335904281616,1.6951650943396228
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2021,"2021","04000US26","Michigan",4459,547.3298822465297,0.9251451076173284,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",102595,11788,4314,3.3611497450162267,95947,6.9288252889616135,4.38187893081761
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2021,"2021","04000US26","Michigan",1390,268.1510768205118,0.7117495526085694,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",87999,31098,1459,-4.729266620973269,79902,10.133663738079148,1.3659591194968554
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2021,"2021","04000US26","Michigan",6793,536.6060007118817,0.8736134474751115,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",105992,8042,6410,5.975039001560063,100914,5.0320074518897275,6.675511006289309
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2021,"2021","04000US26","Michigan",245,98.00510190801292,1.6931537696600025,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",109925,123947,272,-9.926470588235293,103416,6.293997060416183,0.2407625786163522
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2021,"2021","04000US26","Michigan",3803,489.1829923454003,0.897595720570292,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",49087,10715,3967,-4.134106377615327,43243,13.514326018083853,3.737224842767296
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2021,"2021","04000US26","Michigan",9477,635.7523102592708,0.9979494180132168,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",75781,8309,9820,-3.4928716904276986,66519,13.923841308498325,9.31308962264151
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2021,"2021","04000US26","Michigan",16183,879.9056767631405,1.135787577413182,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",71281,6655,16296,-0.6934216985763377,65799,8.331433608413501,15.90310534591195
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2021,"2021","04000US26","Michigan",1921,297.6440827565701,0.9009666987373471,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48063,22743,2180,-11.880733944954128,47183,1.865078524044677,1.8877751572327046
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2021,"2021","04000US26","Michigan",9018,813.3904351539917,1.263646059462377,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",35330,6756,9636,-6.413449564134496,33224,6.338791235251626,8.862028301886793
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2021,"2021","04000US26","Michigan",4556,450.8314540934339,0.9421408744911722,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",,,4601,-0.9780482503803521,,NaN,4.477201257861635
12,"Public Administration (Group)",19,"Public Administration",2021,"2021","04000US26","Michigan",1689,314.23876272668844,0.3533064981163209,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",112314,21488,1439,17.373175816539263,110841,1.328930630362411,1.6597877358490567
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2020,"2020","04000US26","Michigan",1241,290.6303494131334,0.9941708208387479,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",41719,8692,1673,-25.82187686790197,33490,24.571513884741712,1.2196200603422014
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2020,"2020","04000US26","Michigan",0,36.76955262170047,0,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",,,20,-100,,NaN,0
1,"Construction (Group)",2,"Construction",2020,"2020","04000US26","Michigan",4752,706.4085220324001,0.6989328961634718,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",61890,9244,4312,10.204081632653061,57869,6.948452539356131,4.670132575943707
2,"Manufacturing (Group)",3,"Manufacturing",2020,"2020","04000US26","Michigan",16508,1007.7400458451575,1.619392871007247,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",71455,4655,16945,-2.5789318383003836,68139,4.866522843012079,16.223600286969425
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2020,"2020","04000US26","Michigan",3449,482.827091203466,1.330383862171689,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",78369,13893,3280,5.152439024390244,75098,4.355641961170737,3.3895806511847315
4,"Retail Trade (Group)",5,"Retail Trade",2020,"2020","04000US26","Michigan",10131,816.7159849054016,0.9026434432863565,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48716,4147,11000,-7.9,44141,10.364513717405586,9.956463200102208
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2020,"2020","04000US26","Michigan",3105,466.49866023387466,0.6524821139376189,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",70995,13452,3283,-5.421870240633567,68916,3.0167160020895003,3.0515070808723084
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2020,"2020","04000US26","Michigan",262,113.65298060323802,0.3120529032837932,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",122188,31295,286,-8.391608391608392,119797,1.9958763575047789,0.25748626576120603
6,"Information (Group)",8,"Information",2020,"2020","04000US26","Michigan",1911,344.97101327502867,0.9546660917253241,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",80904,18365,1913,-0.10454783063251437,75044,7.808752198710089,1.8780773048460486
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2020,"2020","04000US26","Michigan",4314,550.1136246267675,0.9068920247569696,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",95947,8183,3839,12.373013805678562,88043,8.977431482343855,4.239678436999401
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2020,"2020","04000US26","Michigan",1459,276.0036231646244,0.7373458036498773,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",79902,24054,1482,-1.5519568151147098,74504,7.245248577257597,1.4338643578076322
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2020,"2020","04000US26","Michigan",6410,530.495051814812,0.8482684273714819,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",100914,10222,6351,0.9289875610140136,96428,4.6521757165968385,6.299568563089049
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2020,"2020","04000US26","Michigan",272,117.68602295939817,1.9232258873020318,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",103416,28212,301,-9.634551495016613,98460,5.033516148689824,0.2673139858284277
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2020,"2020","04000US26","Michigan",3967,433.0184753564217,0.9323061292341434,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",43243,9578,4231,-6.239659654927912,40593,6.528219151085163,3.898656550666811
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2020,"2020","04000US26","Michigan",9820,640.0781202322105,1.0363597137557605,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",66519,13223,9638,1.8883585806183858,63529,4.7065119866517655,9.650821106011616
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2020,"2020","04000US26","Michigan",16296,903.0199333348074,1.1453173152993918,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",65799,4249,16284,0.07369196757553427,67647,-2.7318284624595326,16.015252621544327
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2020,"2020","04000US26","Michigan",2180,328.24685832464564,0.9937171020060889,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",47183,18287,2085,4.556354916067146,42709,10.47554379638952,2.14244297465431
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2020,"2020","04000US26","Michigan",9636,935.7163031603116,1.3074771732870687,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",33224,5624,9405,2.456140350877193,30447,9.120767234867145,9.469991056774738
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2020,"2020","04000US26","Michigan",4601,488.6153906704127,0.9377737289597684,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",,,4425,3.977401129943503,,NaN,4.52173400292866
12,"Public Administration (Group)",19,"Public Administration",2020,"2020","04000US26","Michigan",1439,282.68179990936807,0.3031960600707497,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",110841,10093,1464,-1.707650273224044,106998,3.5916559188022203,1.414208917673189
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,"2019","04000US26","Michigan",1673,343.94330928221297,1.2998025396158297,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",33490,10886,1476,13.346883468834688,33008,1.4602520601066407,1.6367140495220949
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,"2019","04000US26","Michigan",20,32.55764119219941,0.038161403328393365,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",,,46,-56.52173913043478,107188,NaN,0.019566216969779976
1,"Construction (Group)",2,"Construction",2019,"2019","04000US26","Michigan",4312,511.4000391083286,0.6399133702963783,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",57869,18272,3954,9.054122407688418,54839,5.525264866244826,4.218476378684563
2,"Manufacturing (Group)",3,"Manufacturing",2019,"2019","04000US26","Michigan",16945,859.5359212970683,1.6400340998224325,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",68139,2464,16302,3.9443013127223656,65079,4.701977596459687,16.577477327646086
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2019,"2019","04000US26","Michigan",3280,374.7065518509117,1.237043855862717,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",75098,10342,3191,2.7890943277969287,74177,1.2416247623926555,3.2088595830439166
4,"Retail Trade (Group)",5,"Retail Trade",2019,"2019","04000US26","Michigan",11000,746.456294768823,0.9650320349526927,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44141,5787,10916,0.7695126419934042,41096,7.409480241386023,10.761419333378988
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2019,"2019","04000US26","Michigan",3283,446.3462781294362,0.7065706132123715,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",68916,9509,3152,4.156091370558376,64471,6.894572753641172,3.2117945155893834
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2019,"2019","04000US26","Michigan",286,120.702112657567,0.3419228759456609,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",119797,45345,248,15.32258064516129,119844,-0.03921764961116118,0.2797969026678537
6,"Information (Group)",8,"Information",2019,"2019","04000US26","Michigan",1913,270.83574357901875,0.9305325346157634,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",75044,16271,1884,1.5392781316348196,76819,-2.310626277353259,1.871508653159455
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2019,"2019","04000US26","Michigan",3839,394.9303736103365,0.8141100825360674,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",88043,9692,3610,6.3434903047091415,86292,2.0291568163908593,3.755735347349267
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2019,"2019","04000US26","Michigan",1482,230.99134182908242,0.7463721853406996,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",74504,15826,1518,-2.371541501976284,70372,5.87165349855056,1.4498566774606962
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,"2019","04000US26","Michigan",6351,491.99288612743175,0.8634112028921047,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",96428,9813,6072,4.594861660079051,93455,3.1812102081215556,6.213252198753632
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2019,"2019","04000US26","Michigan",301,133.5440002396214,2.3085610728598103,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",98460,34976,246,22.35772357723577,98537,-0.07814323553589007,0.29447156539518865
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2019,"2019","04000US26","Michigan",4231,407.0343965809278,0.9733977572973201,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",40593,7475,4311,-1.855717930874507,34355,18.157473439091834,4.139233199956954
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2019,"2019","04000US26","Michigan",9638,610.6594795792497,1.0174670158854395,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",63529,4169,9541,1.0166649198197253,63714,-0.29036004645760743,9.428959957736971
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2019,"2019","04000US26","Michigan",16284,779.7749675387124,1.1477803041787435,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",67647,3948,16298,-0.08590011044299914,65815,2.7835599787282534,15.93081385679486
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,"2019","04000US26","Michigan",2085,313.9840760293426,0.9269291747907992,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",42709,18271,2013,3.5767511177347244,36964,15.542149118060816,2.0397781190995627
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2019,"2019","04000US26","Michigan",9405,705.0992837891697,1.2329900115836845,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",30447,3875,9347,0.6205199529260725,30053,1.3110172029414702,9.201013530039035
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,"2019","04000US26","Michigan",4425,413.9432328230527,0.8910483031032149,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",,,4121,7.3768502790584805,,NaN,4.32902550456382
12,"Public Administration (Group)",19,"Public Administration",2019,"2019","04000US26","Michigan",1464,240.7093683262037,0.31086028750441624,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",106998,11278,1547,-5.365223012281835,105804,1.1285017579675627,1.4322470821878943
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018","04000US26","Michigan",1476,319.507433403356,1.1513935575017225,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",33008,7809,1491,-1.0060362173038229,31758,3.9360161219220355,1.4790616576312967
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018","04000US26","Michigan",46,38.01315561749643,0.08468468775893415,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",107188,54140,52,-11.538461538461538,104375,2.6950898203592812,0.04609541751425451
1,"Construction (Group)",2,"Construction",2018,"2018","04000US26","Michigan",3954,425.96009202741044,0.6128516008137702,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",54839,11928,3733,5.9201714438789175,53219,3.044025629944193,3.962201757638311
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018","04000US26","Michigan",16302,882.8771148919876,1.6044938068311607,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",65079,3788,15122,7.803200634836662,62408,4.279900012818869,16.33581513733428
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018","04000US26","Michigan",3191,364.44615514503647,1.2131619703481458,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",74177,10269,3337,-4.375187293976626,65343,13.519428247861287,3.197619071477959
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018","04000US26","Michigan",10916,771.5024303266971,0.9691057303487476,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",41096,4814,10234,6.6640609732265,37635,9.19622691643417,10.938642990991353
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018","04000US26","Michigan",3152,415.1770706578098,0.7172588447514389,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",64471,12461,2882,9.368494101318529,56586,13.934542112890114,3.1585381740202223
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018","04000US26","Michigan",248,95.63472172804185,0.30172862454778543,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",119844,44427,328,-24.390243902439025,126443,-5.218952413340398,0.2485144248594591
