INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-000003,1396,S1,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,ASSAULT LESS THAN MURDER - GBH,01/01/2021 12:30:00 AM,Friday,Knife/Cutting Instrument,300 BLOCK ROBEY PL SE,January
21-000007,1313,N4,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 12:31:36 AM,Friday,Personal Weapons,700 BLOCK SPRING AV NE,January
21-000018,5216,N8,North,13003,Intimidation/Stalking,Intimidation,Crimes Against Person,Assault Offenses,THREAT TO BURN,01/01/2021 01:22:57 AM,Friday,None,0 BLOCK BATAVIA PL NE,January
21-000022,1313,W6,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 01:32:07 AM,Friday,Personal Weapons,1200 BLOCK CALIFORNIA ST NW,January
21-000027,1313,E8,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 01:59:38 AM,Friday,Personal Weapons,0 BLOCK BAYLIS ST SW,January
21-000029,1399,W2,West,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,ASSAULT (OTHER),01/01/2021 02:00:00 AM,Friday,Personal Weapons,500 BLOCK MARSH RIDGE DR NW,January
21-000030,1313,E5,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 02:14:41 AM,Friday,Personal Weapons,2900 BLOCK MARSHALL AV SE,January
21-000038,1302,E4,East,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT FAMILY - OTHER WEAPON,01/01/2021 02:50:12 AM,Friday,Knife/Cutting Instrument,2400 BLOCK TIMBERBROOK DR SE,January
21-000048,1313,N8,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 03:36:29 AM,Friday,Personal Weapons,400 BLOCK BENSON AV NE,January
21-000049,1306,S6,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM STRONG ARM,01/01/2021 04:00:00 AM,Friday,Asphyxiation,1100 BLOCK HALL ST SE,January
21-000065,1303,S6,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT FAMILY STRONG ARM,01/01/2021 05:52:37 AM,Friday,Personal Weapons,900 BLOCK ADAMS ST SE,January
21-000085,1177,N2,North,11007,Sexual Contact Forcible CSC 2nd,Fondling,Crimes Against Person,Sex Offenses,CSC 2ND DEGREE - FORCIBLE CONTACT,01/01/2021 09:48:28 AM,Friday,None,100 BLOCK TRAVIS ST NE,January
21-000097,1313,S4,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 11:07:26 AM,Friday,Personal Weapons,1200 BLOCK MADISON AV SE,January
21-000103,1313,N7,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 10:50:00 AM,Friday,Other,300 BLOCK FOUNTAIN ST NE,January
21-000121,1313,N1,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 12:29:37 PM,Friday,Personal Weapons,3200 BLOCK PLAINFIELD AV NE,January
21-000113,1302,E5,East,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT FAMILY - OTHER WEAPON,01/01/2021 01:11:33 PM,Friday,Personal Weapons,4000 BLOCK KALAMAZOO AV SE,January
21-000131,1313,C3,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 02:57:50 PM,Friday,Personal Weapons,300 BLOCK IONIA AV SW,January
21-000162,1313,S5,South,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 05:03:13 PM,Friday,Other,800 BLOCK EASTERN AV SE,January
21-000189,1313,N5,North,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/01/2021 08:43:22 PM,Friday,Personal Weapons,1500 BLOCK TENBY CT NE,January
21-000205,1396,W6,West,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,ASSAULT LESS THAN MURDER - GBH,01/01/2021 08:44:05 PM,Friday,Asphyxiation,100 BLOCK LEXINGTON AV NW,January
21-000236,1313,C3,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,01/02/2021 12:47:22 AM,Saturday,Personal Weapons,100 BLOCK DIVISION AV,January
