INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
21-000002,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:06:02 AM,Friday,Firearm (type unknown),800 BLOCK CASS AV SE,January
21-000006,5213,E1,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:27:35 AM,Friday,Handgun,200 BLOCK DICKINSON ST SE,January
21-000013,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:59:17 AM,Friday,Firearm (type unknown),PLAINFIELD AV NE & CALEDONIA ST NE,January
21-000015,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 01:03:45 AM,Friday,Firearm (type unknown),400 BLOCK QUIMBY ST NE,January
21-000039,5213,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 03:04:00 AM,Friday,Firearm (type unknown),CURTIS ST NE & EASTERN PL NE,January
21-000044,5213,N4,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 03:21:29 AM,Friday,Firearm (type unknown),FLAT ST NE & EMERALD AV NE,January
21-000060,5213,E4,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 04:57:00 AM,Friday,Handgun,3600 BLOCK BURTON RIDGE RD SE,January
21-000100,5213,S8,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 12:20:00 AM,Friday,Firearm (type unknown),800 BLOCK NORWICH AV SW,January
21-000124,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 01:05:00 PM,Friday,Firearm (type unknown),700 BLOCK MADISON AV SE,January
21-000157,5213,S3,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 01:00:00 AM,Friday,Firearm (type unknown),800 BLOCK LAFAYETTE AV SE,January
21-000168,3530,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Sell,01/01/2021 05:00:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000168,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/01/2021 05:00:00 PM,Friday,Handgun,400 BLOCK BRENNER ST NE,January
21-000168,3510,N2,North,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Heroin - Sell/Manufacture,01/01/2021 05:00:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000168,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/01/2021 05:00:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000173,5299,N2,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/01/2021 05:54:00 PM,Friday,None,400 BLOCK BRENNER ST NE,January
21-000180,5213,S7,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 07:06:46 PM,Friday,Firearm (type unknown),100 BLOCK FRANKLIN ST SW,January
21-000212,3512,W4,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Heroin - Possess,01/01/2021 07:50:00 PM,Friday,None,400 BLOCK LEONARD ST NW,January
21-000224,3532,S4,South,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/01/2021 11:16:20 PM,Friday,None,OAKHILL ST SE & EASTERN AV SE,January
21-000322,3547,C3,Central,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Methamphetamine - Possess,01/02/2021 01:41:00 PM,Saturday,None,200 BLOCK JEFFERSON AV SE,January
21-000332,5213,N8,North,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/01/2021 03:00:00 PM,Friday,Unknown,100 BLOCK MACK AV NE,January
21-000357,3542,W3,West,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Synthetic Narcotic - Possess,01/02/2021 03:50:00 PM,Saturday,None,STOCKING AV NW & 5TH ST NW,January
21-000460,3532,E1,East,35001,Violation of Controlled Substance Act,Drug/Narcotic Violations,Crimes Against Society,Drug/Narcotic Offenses,Cocaine - Possess,01/03/2021 01:05:43 AM,Sunday,None,1600 BLOCK HORTON AV SE,January
21-000465,5213,E4,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/03/2021 01:32:04 AM,Sunday,Handgun,3700 BLOCK CAMELOT DR SE,January
21-000493,5289,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - OTHER (WEAPON),01/03/2021 07:00:00 AM,Sunday,Other,600 BLOCK PLEASANT ST SE,January
21-000619,5295,E8,East,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/03/2021 10:53:00 PM,Sunday,Handgun,2200 BLOCK DARWIN AV SW,January
21-000619,5299,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/03/2021 10:53:00 PM,Sunday,None,2200 BLOCK DARWIN AV SW,January
21-000621,5299,S4,South,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,WEAPONS OFFENSE (OTHER),01/03/2021 11:10:00 PM,Sunday,Handgun,500 BLOCK EASTERN AV SE,January
21-000621,5297,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,POSS. OR USE FIREARM WHILE UNDER LIQ/DRUGS (WEAPON),01/03/2021 11:10:00 PM,Sunday,Handgun,500 BLOCK EASTERN AV SE,January
21-000654,5213,E8,East,52003,"Weapon Offense, Other",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,"WEAPON FIRING (CARELESS, RECKLESS, HEEDLESS, ETC)",01/04/2021 07:07:57 AM,Monday,Unknown,200 BLOCK CORINNE ST SW,January
21-000793,5202,W4,West,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CARRYING CONCEALED WEAPON (PERSON),01/04/2021 08:13:00 PM,Monday,Handgun,BROADWAY AV NW & 11TH ST NW,January
21-000811,5295,S4,South,52001,"Weapons Offense, Concealed",Weapon Law Violations,Crimes Against Society,Weapon Law Violations,CCW - AUTO (WEAPON),01/04/2021 10:01:19 PM,Monday,Handgun,EASTERN AV SE & HUMBOLT ST SE,January
