Year,Candidate ID,Candidate,Party,Candidate Votes,Total Votes,Party ID,Share
1976,"P60000221","Peter Miguel Camejo","Socialist Workers",1804,3651590,"Socialist Workers",0.049403136715786826
1976,"P60000247","Jimmy Carter","Democratic",1696714,3651590,"Democratic",46.46507411839774
1976,"P60000338","Gerald R Ford","Republican",1893742,3651590,"Republican",51.860751070081804
1976,"P60000452","Lyndon H Larouche Jr.","U.s. Labor",1366,3651590,"U.s. Labor",0.03740836183689845
1976,"P60000494","Eugene J Mccarthy","Independent",47905,3651590,"Independent",1.3118942707149488
1976,"P99999999","Other","Human Rights",3504,3651590,"Human Rights",0.095958199031107
1976,"P99999999","Other","Libertarian",5407,3651590,"Libertarian",0.1480724834934919
1976,"P99999999","Other","Socialist Labor",1148,3651590,"Socialist Labor",0.03143835972822798
1980,"P00000562","Edward E Clark","Libertarian",41597,3909725,"Libertarian",1.0639367218922047
1980,"P00000786","John B Anderson","Independent",275223,3909725,"Independent",7.039446508386139
1980,"P00002659","Barry Commoner","Citizens",11930,3909725,"Citizens",0.30513655052465327
1980,"P60000247","Jimmy Carter","Democratic",1661532,3909725,"Democratic",42.497413500949555
1980,"P60000668","Ronald Reagan","Republican",1915225,3909725,"Republican",48.986181892588355
1980,"P60001393","Gus Hall","Communist Party Use",3262,3909725,"Communist Party Use",0.08343297802275096
1980,"P99999999","Other","Other",956,3909725,"Other",0.02445184763634271
1984,"P40000267","Walter F Mondale","Democratic",1529638,3801658,"Democratic",40.236075943706666
1984,"P40000846","David Bergland","Libertarian",10055,3801658,"Libertarian",0.2644898620549245
1984,"P40000879","Sonia Johnson","Citizens",1191,3801658,"Citizens",0.03132843617179662
1984,"P40001034","Dennis L Serrette","Alliance",665,3801658,"Alliance",0.01749236780373195
1984,"P40001323","Mel Mason","Socialist Workers",1049,3801658,"Socialist Workers",0.027593223798668895
1984,"P40001356","Larry Holmes","Workers World",1416,3801658,"Workers World",0.037246906481329986
1984,"P60000452","Lyndon H Larouche Jr.","Independent",3862,3801658,"Independent",0.10158725482407938
