Party,Year,Special,Congressional District ID,Congressional District,Winner Votes,Total Votes,Winning Candidate,Winning Candidate ID,District,State,Party ID,Start Year,End Year
"Democratic",2008,0,"50000US2614","Congressional District 14, MI",18910803,246588,"John Conyers Jr.","John Conyers Jr.",14,"MI","Democratic",2008,2010
"Democratic",2010,0,"50000US2614","Congressional District 14, MI",9587413,150478,"Other","Other",14,"MI","Democratic",2010,2012
"Democratic",2012,0,"50000US2614","Congressional District 14, MI",22447350,328792,"Gary Peters","Gary Peters",14,"MI","Democratic",2012,2014
"Democratic",2014,0,"50000US2614","Congressional District 14, MI",13717576,212468,"Brenda Lulenar Lawrence","Brenda Lulenar Lawrence",14,"MI","Democratic",2014,2022
"Democratic",2008,0,"50000US2613","Congressional District 13, MI",13900923,225922,"Carolyn Kilpatrick","Carolyn Kilpatrick",13,"MI","Democratic",2008,2010
"Democratic",2010,0,"50000US2613","Congressional District 13, MI",8373455,127076,"Hansen Clarke","Hansen Clarke",13,"MI","Democratic",2010,2012
"Democratic",2012,0,"50000US2613","Congressional District 13, MI",19532888,284270,"Other","Other",13,"MI","Democratic",2012,2014
"Democratic",2014,0,"50000US2613","Congressional District 13, MI",11014930,166947,"John Conyers Jr.","John Conyers Jr.",13,"MI","Democratic",2014,2016
"Democratic",2016,0,"50000US2613","Congressional District 13, MI",16497993,257797,"Other","Other",13,"MI","Democratic",2016,2018
"Democratic",2018,0,"50000US2613","Congressional District 13, MI",13724465,196299,"Rashida Tlaib","Rashida Tlaib",13,"MI","Democratic",2018,2022
"Democratic",2008,0,"50000US2612","Congressional District 12, MI",18682802,312344,"Sander M Mr Levin","Sander M Mr Levin",12,"MI","Democratic",2008,2012
"Democratic",2012,0,"50000US2612","Congressional District 12, MI",18001372,319223,"John D. Dingell","John D. Dingell",12,"MI","Democratic",2012,2014
"Democratic",2014,0,"50000US2612","Congressional District 12, MI",11150718,206660,"Debbie Dingell","Debbie Dingell",12,"MI","Democratic",2014,2022
"Republican",2008,0,"50000US2611","Congressional District 11, MI",14729263,345182,"Thaddeus G Mccotter","Thaddeus G Mccotter",11,"MI","Republican",2008,2012
"Republican",2012,0,"50000US2611","Congressional District 11, MI",15088404,358139,"Kerry Bentivolio","Kerry Bentivolio",11,"MI","Republican",2012,2014
"Republican",2014,0,"50000US2611","Congressional District 11, MI",11656105,251238,"David A Trott","David A Trott",11,"MI","Republican",2014,2018
