CY Start,CY End,Calendar Year,Category,Value
01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,CY2015,Total,62713
01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,CY2015,Electricity,49717
01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,CY2015,Natural Gas,5059
01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,CY2015,Steam,1118
01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,CY2015,Fleet,6819
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,CY2016,Total,54733
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,CY2016,Electricity,42121
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,CY2016,Natural Gas,4301
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,CY2016,Steam,1077
01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,CY2016,Fleet,7234
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,CY2017,Total,54758
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,CY2017,Electricity,42056
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,CY2017,Natural Gas,4324
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,CY2017,Steam,972
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,CY2017,Fleet,7406
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,CY2018,Total,57894
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,CY2018,Electricity,44921
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,CY2018,Natural Gas,5012
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,CY2018,Steam,1155
01/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,CY2018,Fleet,6806
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,CY2019,Total,54983
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,CY2019,Electricity,41567
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,CY2019,Natural Gas,5491
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,CY2019,Steam,1205
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,CY2019,Fleet,6720
01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,CY2020,Total,52449
01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,CY2020,Electricity,41322
01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,CY2020,Natural Gas,4401
01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,CY2020,Steam,1105
01/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,CY2020,Fleet,5621
