date, pm25, pm10, o3, no2, so2, co
2024/3/3, 69, 21, 34, 3, , 
2024/3/4, 54, 20, 24, 5, , 2
2024/3/5, 50, 9, 27, 3, 2, 2
2024/3/6, 23, 8, 30, 2, , 2
2024/3/7, 18, 8, 27, 2, , 2
2024/3/8, 16, 12, 21, 4, , 3
2024/3/9, 35, 2, 28, 1, , 3
2024/3/10, 7, , , , , 
2024/2/2, 53, 10, 17, 10, , 3
2024/2/3, 22, 14, 17, 3, , 2
2024/2/4, 38, 24, 17, 4, , 2
2024/2/5, 56, 41, 27, 12, , 5
2024/2/6, 63, 22, 19, 8, , 2
2024/2/7, 53, 35, 18, 14, , 4
2024/2/8, 71, 34, 36, 8, , 2
2024/2/9, 56, 12, 24, 2, , 2
2024/2/10, 23, 9, 20, 2, , 1
2024/2/11, 24, 9, 23, 3, , 1
2024/2/12, 25, 19, 23, 13, , 3
2024/2/13, 46, 21, 28, 9, , 3
2024/2/14, 39, 14, 28, 10, , 3
2024/2/15, 29, 12, 30, 4, , 2
2024/2/16, 34, 12, 26, 3, , 1
2024/2/17, 20, 13, 30, 1, , 1
2024/2/18, 21, 14, 31, 5, , 1
2024/2/19, 26, 26, 28, 18, , 4
2024/2/20, 56, 29, 32, 13, , 4
2024/2/21, 64, 39, 36, 12, , 3
2024/2/22, 75, 43, 33, 14, , 5
2024/2/23, 90, 24, 31, 8, , 4
2024/2/24, 48, 8, 32, 2, , 
2024/2/25, 18, 19, 27, 6, , 
2024/2/26, 44, 30, 28, 12, , 
2024/2/27, 66, , , , , 
2024/1/3, 49, 12, 22, 3, , 1
2024/1/4, 35, 13, 25, 4, , 1
2024/1/5, 14, 17, 30, 3, , 1
2024/1/6, 48, 23, 18, 9, , 2
2024/1/7, 70, 26, 17, 3, , 2
2024/1/8, 73, 21, 21, 5, , 2
2024/1/9, 60, 13, 18, 4, , 1
2024/1/10, 39, 8, 16, 4, , 2
2024/1/11, 24, 14, 20, 5, , 2
2024/1/12, 44, 12, 20, 8, , 2
2024/1/13, 41, 6, 20, 4, , 1
2024/1/14, 13, 11, 29, 2, , 1
2024/1/15, 20, 14, 24, 4, , 1
2024/1/16, 33, 12, 20, 10, , 2
2024/1/17, 23, 10, 30, 5, , 1
2024/1/18, 19, 17, 29, 4, , 1
2024/1/19, 45, 12, 23, 7, , 2
2024/1/20, 30, 7, 24, 6, , 2
2024/1/21, 18, 12, 28, 8, , 2
2024/1/22, 25, 17, 25, 4, , 1
2024/1/23, 47, 11, 21, 9, , 2
2024/1/24, 40, 20, 19, 8, , 2
2024/1/25, 55, 15, 9, 11, , 3
2024/1/26, 44, 7, 16, 8, , 3
2024/1/27, 19, , 17, 6, , 3
2024/1/31, 59, 17, 16, 9, , 2
2024/2/1, 47, 22, 24, 7, , 2
2023/10/2, 41, 24, 49, 9, 1, 4
2023/10/3, 46, 27, 49, 10, , 4
2023/10/4, 48, 30, 41, 7, , 2
2023/10/5, 46, 19, 26, 7, , 2
2023/10/6, 42, 11, 23, 5, , 2
2023/10/7, 21, 4, 21, 2, , 2
2023/10/8, 8, 4, 23, 3, , 2
2023/10/9, 11, 6, 27, 5, , 2
2023/10/10, 13, 6, 19, 4, , 2
2023/10/11, 13, 10, 22, 8, , 3
2023/10/12, 25, 8, 18, 4, , 2
2023/10/13, 17, 4, 16, 2, , 2
2023/10/14, 11, 5, 21, 2, , 2
2023/10/15, 14, 6, 25, 1, , 2
2023/10/16, 13, 8, 20, 4, , 2
2023/10/17, 18, , , , , 
2023/10/19, 42, 23, 23, 8, , 2
2023/10/20, 62, 6, 18, 3, , 2
2023/10/21, 14, 7, 19, 6, , 2
2023/10/22, 19, 6, 25, 4, , 2
2023/10/23, 14, 18, 27, 8, , 3
2023/10/24, 32, 24, 31, 10, , 3
2023/10/25, 42, 23, 27, 8, , 2
2023/10/26, 54, 18, 21, 9, , 2
2023/10/27, 48, 20, 22, 4, , 2
2023/10/28, 48, 8, 22, 2, , 2
2023/10/29, 18, 8, 20, 2, , 2
2023/10/30, 22, 10, 27, 3, , 1
2023/10/31, 25, 17, 20, 8, , 2
2023/11/1, 47, 12, 24, 8, , 2
2023/11/2, 32, 25, 25, 7, , 2
2023/11/3, 43, 27, 28, 6, , 2
2023/11/4, 44, 35, 25, 9, , 3
2023/11/5, 79, 26, 27, 9, , 4
2023/11/6, 65, 23, 29, 6, , 1
2023/11/7, 48, 11, 20, 5, , 2
2023/11/8, 21, 10, 17, 3, , 1
2023/11/9, 29, 11, 29, 4, , 1
2023/11/10, 27, 16, 21, 8, , 2
2023/11/11, 29, 18, 17, 9, , 4
2023/11/12, 44, 14, 25, 3, , 2
2023/11/13, 34, 21, 28, 10, , 3
2023/11/14, 34, 24, 23, 14, , 4
2023/11/15, 41, 38, 25, 2, 1, 3
2023/11/16, 63, 43, 36, 3, , 5
2023/11/17, 76, 15, 28, 1, , 2
2023/11/18, 27, 25, 28, 2, , 3
2023/11/19, 43, 25, 26, 5, , 4
2023/11/20, 51, 13, 24, 1, , 2
2023/11/21, 31, 10, 18, 1, , 2
2023/11/22, 31, 11, 16, 7, , 2
2023/11/23, 29, 11, 27, 3, , 1
2023/11/24, 31, 7, 31, 8, , 2
2023/11/25, 19, 12, 26, 12, , 2
2023/11/26, 32, 18, 24, 8, , 2
2023/11/27, 55, 10, 27, 2, , 1
2023/11/28, 18, 10, 27, 4, , 1
2023/11/29, 18, 19, 17, 9, , 2
2023/11/30, 49, 24, 21, 11, , 2
2023/12/1, 62, 16, 19, 5, , 2
2023/12/2, 45, 6, 22, 3, , 2
2023/12/3, 18, 6, 19, 3, , 1
2023/12/4, 19, 8, 25, 5, , 2
2023/12/5, 22, 10, 23, 7, , 2
2023/12/6, 31, 14, 21, 8, , 2
2023/12/7, 42, 23, 9, 11, , 3
2023/12/8, 58, 19, 21, 8, , 2
2023/12/9, 48, 13, 22, 2, , 1
2023/12/10, 33, 4, 21, 1, , 1
2023/12/11, 9, 8, 23, 4, , 1
2023/12/12, 23, 14, 25, 5, , 1
2023/12/13, 35, 13, 23, 13, , 3
2023/12/14, 22, 26, 18, 17, , 3
2023/12/15, 48, 33, 17, 18, , 5
2023/12/16, 71, 26, 26, 7, , 3
2023/12/17, 61, 18, 17, 3, , 2
2023/12/18, 55, 7, 27, 1, , 1
2023/12/19, 17, 12, 27, 5, , 1
2023/12/20, 21, 24, 11, 12, , 4
2023/12/21, 52, 34, 9, 9, , 3
2023/12/22, 81, 34, 10, 7, , 2
2023/12/23, 87, 29, 10, 10, , 3
2023/12/24, 79, 25, 15, 3, , 2
2023/12/25, 64, 22, 20, 1, , 2
2023/12/26, 61, 11, 22, 3, , 1
2023/12/27, 34, 10, 14, 3, , 2
2023/12/28, 26, 6, 12, 3, , 2
2023/12/29, 17, , 12, 5, , 2
2023/7/2, 75, 21, 31, 3, , 3
2023/7/3, 53, 17, 44, 2, , 2
2023/7/4, 46, 34, 53, 4, 1, 3
2023/7/5, 77, 37, 56, 6, 1, 3
2023/7/6, 86, 15, 34, 2, , 2
2023/7/7, 43, 16, 41, 3, , 2
2023/7/8, 41, 12, 35, 3, , 2
2023/7/9, 33, 14, 45, 2, , 2
2023/7/10, 39, 20, 60, 7, 1, 2
2023/7/11, 47, 15, 39, 4, 1, 2
