,date, pm25, pm10, o3, no2, so2, co,Year,Month,Day,AQI,Type
0,2014/10/1,13.0, ,20.0, , , ,2014,October,1,42.0,pm25
1,2014/10/10,27.0, ,20.0, , 1, 2,2014,October,10,79.0,pm25
2,2014/10/11,31.0, ,27.0, , 1, 1,2014,October,11,89.0,pm25
3,2014/10/12,32.0, ,32.0, , 1, 2,2014,October,12,92.0,pm25
4,2014/10/13,33.0, ,22.0, , 1, 1,2014,October,13,94.0,pm25
5,2014/10/14,42.0, ,22.0, , , ,2014,October,14,112.0,pm25
6,2014/10/15,20.0, ,13.0, , , 1,2014,October,15,62.0,pm25
7,2014/10/16,26.0, ,14.0, , 5, 1,2014,October,16,77.0,pm25
8,2014/10/17,30.0, ,17.0, , 1, ,2014,October,17,87.0,pm25
9,2014/10/18,30.0, ,19.0, , , ,2014,October,18,87.0,pm25
10,2014/10/19,16.0, ,21.0, , 1, 1,2014,October,19,52.0,pm25
11,2014/10/2,26.0, ,25.0, , , ,2014,October,2,77.0,pm25
12,2014/10/20,27.0, ,17.0, , 1, ,2014,October,20,79.0,pm25
13,2014/10/21,34.0, ,18.0, , 1, 1,2014,October,21,97.0,pm25
14,2014/10/22,25.0, ,23.0, , 1, 1,2014,October,22,75.0,pm25
15,2014/10/23,32.0, ,23.0, , 1, 3,2014,October,23,92.0,pm25
16,2014/10/24,43.0, ,22.0, , 1, 2,2014,October,24,113.0,pm25
17,2014/10/25,55.0, ,32.0, , 2, 1,2014,October,25,133.0,pm25
18,2014/10/26,40.0, ,28.0, , 2, ,2014,October,26,108.0,pm25
19,2014/10/27,25.0, ,35.0, , 1, 1,2014,October,27,75.0,pm25
20,2014/10/28,44.0, ,27.0, , 2, ,2014,October,28,115.0,pm25
21,2014/10/29,32.0, ,13.0, , 1, ,2014,October,29,92.0,pm25
22,2014/10/3,49.0, ,26.0, , , ,2014,October,3,123.0,pm25
23,2014/10/30,20.0, ,11.0, , 1, 1,2014,October,30,62.0,pm25
24,2014/10/31,37.0, ,28.0, , , ,2014,October,31,103.0,pm25
25,2014/10/4,21.0, ,13.0, , 1, ,2014,October,4,65.0,pm25
26,2014/10/5,13.0, ,22.0, , , ,2014,October,5,42.0,pm25
27,2014/10/6,17.0, ,18.0, , 2, ,2014,October,6,55.0,pm25
28,2014/10/7,31.0, ,23.0, , 2, ,2014,October,7,89.0,pm25
29,2014/10/8,24.0, ,27.0, , 1, ,2014,October,8,72.0,pm25
30,2014/10/9,23.0, ,21.0, , 2, 1,2014,October,9,70.0,pm25
31,2014/11/1,22.0, ,25.0, , , 1,2014,November,1,67.0,pm25
32,2014/11/10,27.0, ,23.0, , 1, 1,2014,November,10,79.0,pm25
33,2014/11/11,38.0, ,20.0, , , ,2014,November,11,105.0,pm25
34,2014/11/12,32.0, ,24.0, , 1, ,2014,November,12,92.0,pm25
35,2014/11/13,21.0, ,21.0, , 1, ,2014,November,13,65.0,pm25
36,2014/11/14,24.0, ,24.0, , 1, ,2014,November,14,72.0,pm25
37,2014/11/15,23.0, ,21.0, , 1, ,2014,November,15,70.0,pm25
38,2014/11/16,47.0, ,16.0, , 1, ,2014,November,16,120.0,pm25
39,2014/11/17,46.0, ,23.0, , 1, ,2014,November,17,118.0,pm25
40,2014/11/18,30.0, ,28.0, , 1, ,2014,November,18,87.0,pm25
41,2014/11/19,24.0, ,23.0, , 1, ,2014,November,19,72.0,pm25
42,2014/11/2,29.0, ,26.0, , 1, 3,2014,November,2,84.0,pm25
43,2014/11/20,37.0, ,28.0, , , ,2014,November,20,103.0,pm25
44,2014/11/21,30.0, ,22.0, , 1, ,2014,November,21,87.0,pm25
45,2014/11/22,40.0, ,13.0, , 1, ,2014,November,22,108.0,pm25
46,2014/11/23,53.0, ,23.0, , , 1,2014,November,23,130.0,pm25
47,2014/11/24,48.0, ,16.0, , , ,2014,November,24,121.0,pm25
48,2014/11/25,20.0, ,22.0, , , ,2014,November,25,62.0,pm25
49,2014/11/26,27.0, ,19.0, , , ,2014,November,26,79.0,pm25
50,2014/11/27,42.0, ,26.0, , , ,2014,November,27,112.0,pm25
51,2014/11/28,28.0, ,24.0, , , ,2014,November,28,82.0,pm25
52,2014/11/29,30.0, ,25.0, , 1, ,2014,November,29,87.0,pm25
53,2014/11/3,50.0, ,26.0, , 1, ,2014,November,3,125.0,pm25
54,2014/11/30,42.0, ,20.0, , 1, ,2014,November,30,112.0,pm25
55,2014/11/4,39.0, ,30.0, , , ,2014,November,4,107.0,pm25
56,2014/11/5,47.0, ,24.0, , 5, 1,2014,November,5,120.0,pm25
57,2014/11/6,32.0, ,23.0, , 1, ,2014,November,6,92.0,pm25
58,2014/11/7,32.0, ,20.0, , , ,2014,November,7,92.0,pm25
59,2014/11/8,21.0, ,19.0, , , ,2014,November,8,65.0,pm25
60,2014/11/9,24.0, ,18.0, , , ,2014,November,9,72.0,pm25
61,2014/12/1,49.0, ,24.0, , 1, ,2014,December,1,123.0,pm25
62,2014/12/10,29.0, ,19.0, , , ,2014,December,10,84.0,pm25
63,2014/12/11,29.0, ,21.0, , , ,2014,December,11,84.0,pm25
64,2014/12/12,39.0, ,19.0, , 4, ,2014,December,12,107.0,pm25
65,2014/12/13,48.0, ,17.0, , 2, ,2014,December,13,121.0,pm25
66,2014/12/14,49.0, ,12.0, , 1, 1,2014,December,14,123.0,pm25
67,2014/12/15,55.0, ,21.0, , 1, ,2014,December,15,133.0,pm25
68,2014/12/16,53.0, ,16.0, , , ,2014,December,16,130.0,pm25
69,2014/12/17,36.0, ,21.0, , 1, ,2014,December,17,102.0,pm25
70,2014/12/18,18.0, ,19.0, , 1, ,2014,December,18,57.0,pm25
71,2014/12/19,25.0, ,22.0, , , 1,2014,December,19,75.0,pm25
72,2014/12/2,29.0, ,17.0, , , ,2014,December,2,84.0,pm25
73,2014/12/20,30.0, ,16.0, , 1, 3,2014,December,20,87.0,pm25
74,2014/12/21,59.0, ,14.0, , 1, ,2014,December,21,140.0,pm25
75,2014/12/22,55.0, ,13.0, , 2, ,2014,December,22,133.0,pm25
76,2014/12/23,52.0, ,8.0, , 1, 2,2014,December,23,128.0,pm25
77,2014/12/24,50.0, ,18.0, , 1, 1,2014,December,24,125.0,pm25
78,2014/12/25,24.0, ,26.0, , , ,2014,December,25,72.0,pm25
79,2014/12/26,27.0, ,17.0, , 1, 1,2014,December,26,79.0,pm25
