,Year,Patient to Primary Care Physician Ratio,Geography,ID Geography,Slug Geography,Patient to Dentist Ratio,Other Primary Care Providers
0,2022,4542,"Allegan County, MI",05000US26005,allegan-county-mi,2973,2766
1,2022,2931,"Barry County, MI",05000US26015,barry-county-mi,3651,1320
2,2022,3806,"Ionia County, MI",05000US26067,ionia-county-mi,2391,1403
3,2022,1079,"Kent County, MI",05000US26081,kent-county-mi,1339,467
4,2022,2556,"Montcalm County, MI",05000US26117,montcalm-county-mi,2048,870
5,2022,1702,"Muskegon County, MI",05000US26121,muskegon-county-mi,1474,669
6,2022,2449,"Newaygo County, MI",05000US26123,newaygo-county-mi,1645,1050
7,2022,1504,"Ottawa County, MI",05000US26139,ottawa-county-mi,1646,1417
8,2021,4513,"Allegan County, MI",05000US26005,allegan-county-mi,2880,2811
9,2021,2912,"Barry County, MI",05000US26015,barry-county-mi,3621,1465
10,2021,4013,"Ionia County, MI",05000US26067,ionia-county-mi,2396,1505
11,2021,1095,"Kent County, MI",05000US26081,kent-county-mi,1341,491
12,2021,2369,"Montcalm County, MI",05000US26117,montcalm-county-mi,2130,926
13,2021,1685,"Muskegon County, MI",05000US26121,muskegon-county-mi,1459,703
14,2021,2573,"Newaygo County, MI",05000US26123,newaygo-county-mi,1749,1113
15,2021,1482,"Ottawa County, MI",05000US26139,ottawa-county-mi,1717,1569
16,2020,4313,"Allegan County, MI",05000US26005,allegan-county-mi,3259,3008
17,2020,3029,"Barry County, MI",05000US26015,barry-county-mi,3597,1422
18,2020,3384,"Ionia County, MI",05000US26067,ionia-county-mi,2378,1646
19,2020,1109,"Kent County, MI",05000US26081,kent-county-mi,1391,533
20,2020,2444,"Montcalm County, MI",05000US26117,montcalm-county-mi,2132,1000
21,2020,1639,"Muskegon County, MI",05000US26121,muskegon-county-mi,1484,765
22,2020,2539,"Newaygo County, MI",05000US26123,newaygo-county-mi,1746,1137
23,2020,1499,"Ottawa County, MI",05000US26139,ottawa-county-mi,1761,1816
24,2019,3852,"Allegan County, MI",05000US26005,allegan-county-mi,3425,2840
25,2019,2985,"Barry County, MI",05000US26015,barry-county-mi,3564,1683
26,2019,3381,"Ionia County, MI",05000US26067,ionia-county-mi,2473,1837
27,2019,1123,"Kent County, MI",05000US26081,kent-county-mi,1407,584
28,2019,2332,"Montcalm County, MI",05000US26117,montcalm-county-mi,2354,993
29,2019,1606,"Muskegon County, MI",05000US26121,muskegon-county-mi,1524,864
30,2019,2397,"Newaygo County, MI",05000US26123,newaygo-county-mi,1787,1206
31,2019,1586,"Ottawa County, MI",05000US26139,ottawa-county-mi,1836,1989
32,2018,3953,"Allegan County, MI",05000US26005,allegan-county-mi,3210,3123
33,2018,2966,"Barry County, MI",05000US26015,barry-county-mi,3512,1866
34,2018,3211,"Ionia County, MI",05000US26067,ionia-county-mi,2569,1946
35,2018,1120,"Kent County, MI",05000US26081,kent-county-mi,1433,631
36,2018,2248,"Montcalm County, MI",05000US26117,montcalm-county-mi,2332,1125
37,2018,1600,"Muskegon County, MI",05000US26121,muskegon-county-mi,1636,953
38,2018,2997,"Newaygo County, MI",05000US26123,newaygo-county-mi,1918,1498
39,2018,1609,"Ottawa County, MI",05000US26139,ottawa-county-mi,1845,2106
40,2017,3795,"Allegan County, MI",05000US26005,allegan-county-mi,3582,3275
41,2017,2695,"Barry County, MI",05000US26015,barry-county-mi,3489,1913
42,2017,3062,"Ionia County, MI",05000US26067,ionia-county-mi,2676,2569
43,2017,1098,"Kent County, MI",05000US26081,kent-county-mi,1446,673
44,2017,2329,"Montcalm County, MI",05000US26117,montcalm-county-mi,2331,1285
45,2017,1553,"Muskegon County, MI",05000US26121,muskegon-county-mi,1678,1041
46,2017,2521,"Newaygo County, MI",05000US26123,newaygo-county-mi,1844,1653
47,2017,1606,"Ottawa County, MI",05000US26139,ottawa-county-mi,1842,2258
48,2016,4168,"Allegan County, MI",05000US26005,allegan-county-mi,3926,3162
49,2016,2955,"Barry County, MI",05000US26015,barry-county-mi,3705,1976
50,2016,3204,"Ionia County, MI",05000US26067,ionia-county-mi,2679,2296
51,2016,1089,"Kent County, MI",05000US26081,kent-county-mi,1453,737
52,2016,2427,"Montcalm County, MI",05000US26117,montcalm-county-mi,2329,1258
