Geo,Group,Date,Year,Population,Tested,Pct_Tested,EBLL,Pct_EBLL,CEBLL,Pct_CEBLL,VEBLL,Pct_VEBLL,Ven_5_9,Pct_Ven_5_9,Ven_10_14,Pct_Ven_10_14,Ven_15_19,Pct_Ven_15_19,Ven_20_39,Pct_Ven_20_39,Ven_GTE_40,Pct_Ven_GTE_40
48006,Children 1-2,2017,2017,,20,,,,,,,,,,0,0,0,0,0,0,0,0
48067,Children 1-2,2015,2015,,211,,,,0,0,,,,,,,0,0,0,0,0,0
48091,Children 1-2,2016,2016,,397,,,,,,,,,,,,0,0,0,0,0,0
48117,Children 1-2,2020,2020,,40,,,,,,,,,,0,0,0,0,0,0,0,0
48120,Children < 6,2020,2020,,250,,,,0,0,,,,,,,,,0,0,0,0
48193,Children 1-2,2018,2018,,162,,,,,,,,,,0,0,0,0,0,0,0,0
48218,Children 1-2,2013,2013,,152,,,,,,,,,,,,0,0,0,0,0,0
48307,Children 1-2,2017,2017,,200,,,,0,0,,,,,,,0,0,0,0,0,0
48310,Children 1-2,2017,2017,,381,,,,,,,,,,0,0,0,0,0,0,0,0
48334,Children 1-2,2018,2018,,144,,,,,,,,,,0,0,0,0,0,0,0,0
48346,Children 1-2,2018,2018,,136,,,,,,,,,,0,0,0,0,0,0,0,0
48377,Children 1-2,2013,2013,,127,,,,,,,,,,0,0,0,0,0,0,0,0
48433,Children 1-2,2012,2012,,187,,,,,,,,,,0,0,0,0,0,0,0,0
48607,Children 1-2,2014,2014,,20,,,,,,,,0,0,0,0,,,0,0,0,0
48607,Children 1-2,2015,2015,,20,,,,,,,,,,0,0,0,0,0,0,0,0
48746,Children 1-2,2017,2017,,79,,,,,,,,0,0,,,0,0,0,0,0,0
48809,Children < 6,2020,2020,,106,,,,,,,,,,0,0,,,0,0,0,0
48854,Children 1-2,2017,2017,,124,,,,,,,,,,0,0,0,0,0,0,0,0
48854,Children 1-2,2018,2018,,135,,,,,,,,,,0,0,0,0,0,0,0,0
48854,Children 1-2,2019,2019,,126,,,,,,,,,,0,0,0,0,0,0,0,0
48854,Children 1-2,2020,2020,,63,,,,,,,,0,0,,,0,0,0,0,0,0
48854,Children < 6,2010,2010,,220,,,,,,,,,,0,0,0,0,0,0,0,0
49030,Children 1-2,2010,2010,,26,,,,,,,,0,0,,,0,0,0,0,0,0
49250,Children 1-2,2017,2017,,50,,,,,,,,,,0,0,0,0,0,0,0,0
49064,Children 1-2,2019,2019,,14,,,,,,,,0,0,0,0,0,0,,,0,0
GRAND RAPIDS,Children 1-2,2010,2010,,4588,,512,0.112,359,0.078,153,0.033,102,0.022,33,0.007,10,0.002,8,0.002,0,0
GRAND RAPIDS,Children 1-2,2011,2011,,4974,,426,0.086,318,0.064,108,0.022,66,0.013,26,0.005,7,0.001,,,,
GRAND RAPIDS,Children 1-2,2012,2012,,4928,,461,0.094,357,0.072,104,0.021,69,0.014,19,0.004,9,0.002,7,0.001,0,0
GRAND RAPIDS,Children 1-2,2013,2013,,5028,,357,0.071,272,0.054,85,0.017,46,0.009,22,0.004,12,0.002,,,,
GRAND RAPIDS,Children 1-2,2014,2014,,5053,,308,0.061,219,0.043,89,0.018,56,0.011,17,0.003,10,0.002,6,0.001,0,0
GRAND RAPIDS,Children 1-2,2015,2015,,5065,,420,0.083,318,0.063,102,0.02,61,0.012,29,0.006,,,6,0.001,,
GRAND RAPIDS,Children 1-2,2016,2016,,5209,,389,0.075,259,0.05,130,0.025,90,0.017,20,0.004,12,0.002,8,0.002,0,0
GRAND RAPIDS,Children 1-2,2017,2017,,5159,,274,0.053,137,0.027,137,0.027,97,0.019,27,0.005,8,0.002,,,,
GRAND RAPIDS,Children 1-2,2018,2018,,4869,,210,0.043,84,0.017,126,0.026,93,0.019,16,0.003,8,0.002,9,0.002,0,0
GRAND RAPIDS,Children 1-2,2019,2019,,4843,,131,0.027,37,0.008,94,0.019,71,0.015,14,0.003,,,,,,
GRAND RAPIDS,Children 1-2,2020,2020,,2910,,99,0.034,39,0.013,60,0.021,46,0.016,10,0.003,,,,,0,0
GRAND RAPIDS,Children < 6,2010,2010,18726,6558,0.35,746,0.114,541,0.082,205,0.031,139,0.021,42,0.006,12,0.002,12,0.002,0,0
GRAND RAPIDS,Children < 6,2011,2011,18650,6980,0.374,634,0.091,478,0.068,156,0.022,98,0.014,35,0.005,13,0.002,,,,
GRAND RAPIDS,Children < 6,2012,2012,18427,6605,0.358,593,0.09,461,0.07,132,0.02,89,0.013,24,0.004,10,0.002,9,0.001,0,0
GRAND RAPIDS,Children < 6,2013,2013,18854,6368,0.338,468,0.073,345,0.054,123,0.019,73,0.011,28,0.004,13,0.002,,,,
