ID Year,Year,Patient to Dentist Ratio,Patient to Dentist Ratio Data Source Years,Geography,ID Geography,Slug Geography
2022,"2022",2973,"2020","Allegan County, MI","05000US26005","allegan-county-mi"
2022,"2022",3651,"2020","Barry County, MI","05000US26015","barry-county-mi"
2022,"2022",2391,"2020","Ionia County, MI","05000US26067","ionia-county-mi"
2022,"2022",1339,"2020","Kent County, MI","05000US26081","kent-county-mi"
2022,"2022",2048,"2020","Montcalm County, MI","05000US26117","montcalm-county-mi"
2022,"2022",1474,"2020","Muskegon County, MI","05000US26121","muskegon-county-mi"
2022,"2022",1645,"2020","Newaygo County, MI","05000US26123","newaygo-county-mi"
2022,"2022",1646,"2020","Ottawa County, MI","05000US26139","ottawa-county-mi"
2021,"2021",2880,"2019","Allegan County, MI","05000US26005","allegan-county-mi"
2021,"2021",3621,"2019","Barry County, MI","05000US26015","barry-county-mi"
2021,"2021",2396,"2019","Ionia County, MI","05000US26067","ionia-county-mi"
2021,"2021",1341,"2019","Kent County, MI","05000US26081","kent-county-mi"
2021,"2021",2130,"2019","Montcalm County, MI","05000US26117","montcalm-county-mi"
2021,"2021",1459,"2019","Muskegon County, MI","05000US26121","muskegon-county-mi"
2021,"2021",1749,"2019","Newaygo County, MI","05000US26123","newaygo-county-mi"
2021,"2021",1717,"2019","Ottawa County, MI","05000US26139","ottawa-county-mi"
2020,"2020",3259,"2018","Allegan County, MI","05000US26005","allegan-county-mi"
2020,"2020",3597,"2018","Barry County, MI","05000US26015","barry-county-mi"
2020,"2020",2378,"2018","Ionia County, MI","05000US26067","ionia-county-mi"
2020,"2020",1391,"2018","Kent County, MI","05000US26081","kent-county-mi"
2020,"2020",2132,"2018","Montcalm County, MI","05000US26117","montcalm-county-mi"
2020,"2020",1484,"2018","Muskegon County, MI","05000US26121","muskegon-county-mi"
2020,"2020",1746,"2018","Newaygo County, MI","05000US26123","newaygo-county-mi"
2020,"2020",1761,"2018","Ottawa County, MI","05000US26139","ottawa-county-mi"
2019,"2019",3425,"2017","Allegan County, MI","05000US26005","allegan-county-mi"
2019,"2019",3564,"2017","Barry County, MI","05000US26015","barry-county-mi"
2019,"2019",2473,"2017","Ionia County, MI","05000US26067","ionia-county-mi"
2019,"2019",1407,"2017","Kent County, MI","05000US26081","kent-county-mi"
2019,"2019",2354,"2017","Montcalm County, MI","05000US26117","montcalm-county-mi"
2019,"2019",1524,"2017","Muskegon County, MI","05000US26121","muskegon-county-mi"
2019,"2019",1787,"2017","Newaygo County, MI","05000US26123","newaygo-county-mi"
2019,"2019",1836,"2017","Ottawa County, MI","05000US26139","ottawa-county-mi"
2018,"2018",3210,"2016","Allegan County, MI","05000US26005","allegan-county-mi"
2018,"2018",3512,"2016","Barry County, MI","05000US26015","barry-county-mi"
2018,"2018",2569,"2016","Ionia County, MI","05000US26067","ionia-county-mi"
2018,"2018",1433,"2016","Kent County, MI","05000US26081","kent-county-mi"
2018,"2018",2332,"2016","Montcalm County, MI","05000US26117","montcalm-county-mi"
2018,"2018",1636,"2016","Muskegon County, MI","05000US26121","muskegon-county-mi"
2018,"2018",1918,"2016","Newaygo County, MI","05000US26123","newaygo-county-mi"
2018,"2018",1845,"2016","Ottawa County, MI","05000US26139","ottawa-county-mi"
2017,"2017",3582,"2015","Allegan County, MI","05000US26005","allegan-county-mi"
2017,"2017",3489,"2015","Barry County, MI","05000US26015","barry-county-mi"
2017,"2017",2676,"2015","Ionia County, MI","05000US26067","ionia-county-mi"
2017,"2017",1446,"2015","Kent County, MI","05000US26081","kent-county-mi"
2017,"2017",2331,"2015","Montcalm County, MI","05000US26117","montcalm-county-mi"
2017,"2017",1678,"2015","Muskegon County, MI","05000US26121","muskegon-county-mi"
2017,"2017",1844,"2015","Newaygo County, MI","05000US26123","newaygo-county-mi"
2017,"2017",1842,"2015","Ottawa County, MI","05000US26139","ottawa-county-mi"
2016,"2016",3926,"2014","Allegan County, MI","05000US26005","allegan-county-mi"
2016,"2016",3705,"2014","Barry County, MI","05000US26015","barry-county-mi"
2016,"2016",2679,"2014","Ionia County, MI","05000US26067","ionia-county-mi"
2016,"2016",1453,"2014","Kent County, MI","05000US26081","kent-county-mi"
2016,"2016",2329,"2014","Montcalm County, MI","05000US26117","montcalm-county-mi"
2016,"2016",1741,"2014","Muskegon County, MI","05000US26121","muskegon-county-mi"
2016,"2016",1996,"2014","Newaygo County, MI","05000US26123","newaygo-county-mi"
2016,"2016",1806,"2014","Ottawa County, MI","05000US26139","ottawa-county-mi"
2015,"2015",3880,"2013","Allegan County, MI","05000US26005","allegan-county-mi"
2015,"2015",3694,"2013","Barry County, MI","05000US26015","barry-county-mi"
2015,"2015",2464,"2013","Ionia County, MI","05000US26067","ionia-county-mi"
2015,"2015",1487,"2013","Kent County, MI","05000US26081","kent-county-mi"
2015,"2015",2337,"2013","Montcalm County, MI","05000US26117","montcalm-county-mi"
2015,"2015",1839,"2013","Muskegon County, MI","05000US26121","muskegon-county-mi"
2015,"2015",2182,"2013","Newaygo County, MI","05000US26123","newaygo-county-mi"
2015,"2015",1868,"2013","Ottawa County, MI","05000US26139","ottawa-county-mi"
2014,"2014",4346,"2012","Allegan County, MI","05000US26005","allegan-county-mi"
2014,"2014",3725,"2012","Barry County, MI","05000US26015","barry-county-mi"
2014,"2014",2673,"2012","Ionia County, MI","05000US26067","ionia-county-mi"
2014,"2014",1549,"2012","Kent County, MI","05000US26081","kent-county-mi"
2014,"2014",2651,"2012","Montcalm County, MI","05000US26117","montcalm-county-mi"
2014,"2014",1949,"2012","Muskegon County, MI","05000US26121","muskegon-county-mi"
2014,"2014",2205,"2012","Newaygo County, MI","05000US26123","newaygo-county-mi"
2014,"2014",1953,"2012","Ottawa County, MI","05000US26139","ottawa-county-mi"
