ID Year,Year,Other Primary Care Providers,Other Primary Care Providers Data Source Years,Geography,ID Geography,Slug Geography
2022,"2022",2766,"2021","Allegan County, MI","05000US26005","allegan-county-mi"
2022,"2022",1320,"2021","Barry County, MI","05000US26015","barry-county-mi"
2022,"2022",1403,"2021","Ionia County, MI","05000US26067","ionia-county-mi"
2022,"2022",467,"2021","Kent County, MI","05000US26081","kent-county-mi"
2022,"2022",870,"2021","Montcalm County, MI","05000US26117","montcalm-county-mi"
2022,"2022",669,"2021","Muskegon County, MI","05000US26121","muskegon-county-mi"
2022,"2022",1050,"2021","Newaygo County, MI","05000US26123","newaygo-county-mi"
2022,"2022",1417,"2021","Ottawa County, MI","05000US26139","ottawa-county-mi"
2021,"2021",2811,"2020","Allegan County, MI","05000US26005","allegan-county-mi"
2021,"2021",1465,"2020","Barry County, MI","05000US26015","barry-county-mi"
2021,"2021",1505,"2020","Ionia County, MI","05000US26067","ionia-county-mi"
2021,"2021",491,"2020","Kent County, MI","05000US26081","kent-county-mi"
2021,"2021",926,"2020","Montcalm County, MI","05000US26117","montcalm-county-mi"
2021,"2021",703,"2020","Muskegon County, MI","05000US26121","muskegon-county-mi"
2021,"2021",1113,"2020","Newaygo County, MI","05000US26123","newaygo-county-mi"
2021,"2021",1569,"2020","Ottawa County, MI","05000US26139","ottawa-county-mi"
2020,"2020",3008,"2019","Allegan County, MI","05000US26005","allegan-county-mi"
2020,"2020",1422,"2019","Barry County, MI","05000US26015","barry-county-mi"
2020,"2020",1646,"2019","Ionia County, MI","05000US26067","ionia-county-mi"
2020,"2020",533,"2019","Kent County, MI","05000US26081","kent-county-mi"
2020,"2020",1000,"2019","Montcalm County, MI","05000US26117","montcalm-county-mi"
2020,"2020",765,"2019","Muskegon County, MI","05000US26121","muskegon-county-mi"
2020,"2020",1137,"2019","Newaygo County, MI","05000US26123","newaygo-county-mi"
2020,"2020",1816,"2019","Ottawa County, MI","05000US26139","ottawa-county-mi"
2019,"2019",2840,"2018","Allegan County, MI","05000US26005","allegan-county-mi"
2019,"2019",1683,"2018","Barry County, MI","05000US26015","barry-county-mi"
2019,"2019",1837,"2018","Ionia County, MI","05000US26067","ionia-county-mi"
2019,"2019",584,"2018","Kent County, MI","05000US26081","kent-county-mi"
2019,"2019",993,"2018","Montcalm County, MI","05000US26117","montcalm-county-mi"
2019,"2019",864,"2018","Muskegon County, MI","05000US26121","muskegon-county-mi"
2019,"2019",1206,"2018","Newaygo County, MI","05000US26123","newaygo-county-mi"
2019,"2019",1989,"2018","Ottawa County, MI","05000US26139","ottawa-county-mi"
2018,"2018",3123,"2017","Allegan County, MI","05000US26005","allegan-county-mi"
2018,"2018",1866,"2017","Barry County, MI","05000US26015","barry-county-mi"
2018,"2018",1946,"2017","Ionia County, MI","05000US26067","ionia-county-mi"
2018,"2018",631,"2017","Kent County, MI","05000US26081","kent-county-mi"
2018,"2018",1125,"2017","Montcalm County, MI","05000US26117","montcalm-county-mi"
2018,"2018",953,"2017","Muskegon County, MI","05000US26121","muskegon-county-mi"
2018,"2018",1498,"2017","Newaygo County, MI","05000US26123","newaygo-county-mi"
2018,"2018",2106,"2017","Ottawa County, MI","05000US26139","ottawa-county-mi"
2017,"2017",3275,"2016","Allegan County, MI","05000US26005","allegan-county-mi"
2017,"2017",1913,"2016","Barry County, MI","05000US26015","barry-county-mi"
2017,"2017",2569,"2016","Ionia County, MI","05000US26067","ionia-county-mi"
2017,"2017",673,"2016","Kent County, MI","05000US26081","kent-county-mi"
2017,"2017",1285,"2016","Montcalm County, MI","05000US26117","montcalm-county-mi"
2017,"2017",1041,"2016","Muskegon County, MI","05000US26121","muskegon-county-mi"
2017,"2017",1653,"2016","Newaygo County, MI","05000US26123","newaygo-county-mi"
2017,"2017",2258,"2016","Ottawa County, MI","05000US26139","ottawa-county-mi"
2016,"2016",3162,"2015","Allegan County, MI","05000US26005","allegan-county-mi"
2016,"2016",1976,"2015","Barry County, MI","05000US26015","barry-county-mi"
2016,"2016",2296,"2015","Ionia County, MI","05000US26067","ionia-county-mi"
2016,"2016",737,"2015","Kent County, MI","05000US26081","kent-county-mi"
2016,"2016",1258,"2015","Montcalm County, MI","05000US26117","montcalm-county-mi"
2016,"2016",1112,"2015","Muskegon County, MI","05000US26121","muskegon-county-mi"
2016,"2016",1545,"2015","Newaygo County, MI","05000US26123","newaygo-county-mi"
2016,"2016",2382,"2015","Ottawa County, MI","05000US26139","ottawa-county-mi"
2015,"2015",3310,"2014","Allegan County, MI","05000US26005","allegan-county-mi"
2015,"2015",2038,"2014","Barry County, MI","05000US26015","barry-county-mi"
2015,"2015",2373,"2014","Ionia County, MI","05000US26067","ionia-county-mi"
2015,"2015",819,"2014","Kent County, MI","05000US26081","kent-county-mi"
2015,"2015",1402,"2014","Montcalm County, MI","05000US26117","montcalm-county-mi"
2015,"2015",1163,"2014","Muskegon County, MI","05000US26121","muskegon-county-mi"
2015,"2015",1714,"2014","Newaygo County, MI","05000US26123","newaygo-county-mi"
2015,"2015",2479,"2014","Ottawa County, MI","05000US26139","ottawa-county-mi"
2014,"2014",3863,"2013","Allegan County, MI","05000US26005","allegan-county-mi"
2014,"2014",2185,"2013","Barry County, MI","05000US26015","barry-county-mi"
2014,"2014",2459,"2013","Ionia County, MI","05000US26067","ionia-county-mi"
2014,"2014",909,"2013","Kent County, MI","05000US26081","kent-county-mi"
2014,"2014",1467,"2013","Montcalm County, MI","05000US26117","montcalm-county-mi"
