,Year,Patient to Primary Care Physician Ratio,Patient to Dentist Ratio,Other Primary Care Providers,Geography,ID Geography,Slug Geography
0,2022,4542,2973,2766,"Allegan County, MI",05000US26005,allegan-county-mi
1,2022,4542,2973,1320,"Barry County, MI",05000US26015,barry-county-mi
2,2022,4542,2973,1403,"Ionia County, MI",05000US26067,ionia-county-mi
3,2022,4542,2973,467,"Kent County, MI",05000US26081,kent-county-mi
4,2022,4542,2973,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
5,2022,4542,2973,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
6,2022,4542,2973,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
7,2022,4542,2973,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
8,2022,4542,3651,2766,"Allegan County, MI",05000US26005,allegan-county-mi
9,2022,4542,3651,1320,"Barry County, MI",05000US26015,barry-county-mi
10,2022,4542,3651,1403,"Ionia County, MI",05000US26067,ionia-county-mi
11,2022,4542,3651,467,"Kent County, MI",05000US26081,kent-county-mi
12,2022,4542,3651,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
13,2022,4542,3651,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
14,2022,4542,3651,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
15,2022,4542,3651,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
16,2022,4542,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
17,2022,4542,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
18,2022,4542,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
19,2022,4542,2391,467,"Kent County, MI",05000US26081,kent-county-mi
20,2022,4542,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
21,2022,4542,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
22,2022,4542,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
23,2022,4542,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
24,2022,4542,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
25,2022,4542,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
26,2022,4542,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
27,2022,4542,1339,467,"Kent County, MI",05000US26081,kent-county-mi
28,2022,4542,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
29,2022,4542,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
30,2022,4542,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
31,2022,4542,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
32,2022,4542,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
33,2022,4542,2048,1320,"Barry County, MI",05000US26015,barry-county-mi
34,2022,4542,2048,1403,"Ionia County, MI",05000US26067,ionia-county-mi
35,2022,4542,2048,467,"Kent County, MI",05000US26081,kent-county-mi
36,2022,4542,2048,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
37,2022,4542,2048,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
38,2022,4542,2048,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
39,2022,4542,2048,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
40,2022,4542,1474,2766,"Allegan County, MI",05000US26005,allegan-county-mi
41,2022,4542,1474,1320,"Barry County, MI",05000US26015,barry-county-mi
42,2022,4542,1474,1403,"Ionia County, MI",05000US26067,ionia-county-mi
43,2022,4542,1474,467,"Kent County, MI",05000US26081,kent-county-mi
44,2022,4542,1474,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
45,2022,4542,1474,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
46,2022,4542,1474,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
47,2022,4542,1474,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
48,2022,4542,1645,2766,"Allegan County, MI",05000US26005,allegan-county-mi
49,2022,4542,1645,1320,"Barry County, MI",05000US26015,barry-county-mi
50,2022,4542,1645,1403,"Ionia County, MI",05000US26067,ionia-county-mi
51,2022,4542,1645,467,"Kent County, MI",05000US26081,kent-county-mi
52,2022,4542,1645,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
53,2022,4542,1645,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
54,2022,4542,1645,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
55,2022,4542,1645,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
56,2022,4542,1646,2766,"Allegan County, MI",05000US26005,allegan-county-mi
57,2022,4542,1646,1320,"Barry County, MI",05000US26015,barry-county-mi
58,2022,4542,1646,1403,"Ionia County, MI",05000US26067,ionia-county-mi
59,2022,4542,1646,467,"Kent County, MI",05000US26081,kent-county-mi
60,2022,4542,1646,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
61,2022,4542,1646,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
62,2022,4542,1646,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
63,2022,4542,1646,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
64,2022,2931,2973,2766,"Allegan County, MI",05000US26005,allegan-county-mi
65,2022,2931,2973,1320,"Barry County, MI",05000US26015,barry-county-mi
66,2022,2931,2973,1403,"Ionia County, MI",05000US26067,ionia-county-mi
67,2022,2931,2973,467,"Kent County, MI",05000US26081,kent-county-mi
68,2022,2931,2973,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
69,2022,2931,2973,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
70,2022,2931,2973,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
71,2022,2931,2973,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
72,2022,2931,3651,2766,"Allegan County, MI",05000US26005,allegan-county-mi
73,2022,2931,3651,1320,"Barry County, MI",05000US26015,barry-county-mi
74,2022,2931,3651,1403,"Ionia County, MI",05000US26067,ionia-county-mi
75,2022,2931,3651,467,"Kent County, MI",05000US26081,kent-county-mi
76,2022,2931,3651,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
77,2022,2931,3651,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
78,2022,2931,3651,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
79,2022,2931,3651,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
80,2022,2931,2391,2766,"Allegan County, MI",05000US26005,allegan-county-mi
81,2022,2931,2391,1320,"Barry County, MI",05000US26015,barry-county-mi
82,2022,2931,2391,1403,"Ionia County, MI",05000US26067,ionia-county-mi
83,2022,2931,2391,467,"Kent County, MI",05000US26081,kent-county-mi
84,2022,2931,2391,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
85,2022,2931,2391,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
86,2022,2931,2391,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
87,2022,2931,2391,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
88,2022,2931,1339,2766,"Allegan County, MI",05000US26005,allegan-county-mi
89,2022,2931,1339,1320,"Barry County, MI",05000US26015,barry-county-mi
90,2022,2931,1339,1403,"Ionia County, MI",05000US26067,ionia-county-mi
91,2022,2931,1339,467,"Kent County, MI",05000US26081,kent-county-mi
92,2022,2931,1339,870,"Montcalm County, MI",05000US26117,montcalm-county-mi
93,2022,2931,1339,669,"Muskegon County, MI",05000US26121,muskegon-county-mi
94,2022,2931,1339,1050,"Newaygo County, MI",05000US26123,newaygo-county-mi
95,2022,2931,1339,1417,"Ottawa County, MI",05000US26139,ottawa-county-mi
96,2022,2931,2048,2766,"Allegan County, MI",05000US26005,allegan-county-mi
97,2022,2931,2048,1320,"Barry County, MI",05000US26015,barry-county-mi
98,2022,2931,2048,1403,"Ionia County, MI",05000US26067,ionia-county-mi
