ID Year,Year,ID Health Coverage,Health Coverage,ID Gender,Gender,Health Insurance by Gender and Age,Geography,ID Geography,Slug Geography,Share
2021,"2021",0,"Private",0,"Male",60804,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",49.08773856040301
2021,"2021",0,"Private",1,"Female",63064,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",50.912261439596996
2021,"2021",1,"Public",0,"Male",32102,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",43.76073502549143
2021,"2021",1,"Public",1,"Female",41256,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",56.23926497450857
2020,"2020",0,"Private",0,"Male",59406,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48.99504325808873
2020,"2020",0,"Private",1,"Female",61843,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",51.00495674191128
2020,"2020",1,"Public",0,"Male",34380,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44.616901993355484
2020,"2020",1,"Public",1,"Female",42676,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",55.383098006644516
2019,"2019",0,"Private",0,"Male",59640,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",49.18316688795243
2019,"2019",0,"Private",1,"Female",61621,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",50.81683311204757
2019,"2019",1,"Public",0,"Male",34716,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44.91654806572649
2019,"2019",1,"Public",1,"Female",42574,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",55.08345193427352
2018,"2018",0,"Private",0,"Male",58425,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48.73704933348905
2018,"2018",0,"Private",1,"Female",61453,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",51.26295066651095
2018,"2018",1,"Public",0,"Male",34279,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44.883663074646805
2018,"2018",1,"Public",1,"Female",42094,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",55.1163369253532
2017,"2017",0,"Private",0,"Male",56904,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48.453265895215466
2017,"2017",0,"Private",1,"Female",60537,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",51.546734104784534
2017,"2017",1,"Public",0,"Male",33798,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",45.15008616428658
2017,"2017",1,"Public",1,"Female",41059,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",54.84991383571342
2016,"2016",0,"Private",0,"Male",56092,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48.2092977284252
2016,"2016",0,"Private",1,"Female",60259,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",51.79070227157481
2016,"2016",1,"Public",0,"Male",33432,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",45.275046721378075
2016,"2016",1,"Public",1,"Female",40410,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",54.724953278621925
2015,"2015",0,"Private",0,"Male",54581,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",47.645692936205876
2015,"2015",0,"Private",1,"Female",59975,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",52.354307063794124
2015,"2015",1,"Public",0,"Male",32269,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44.85917646731726
2015,"2015",1,"Public",1,"Female",39665,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",55.14082353268274
2014,"2014",0,"Private",0,"Male",53257,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",47.373243195161
2014,"2014",0,"Private",1,"Female",59163,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",52.62675680483899
2014,"2014",1,"Public",0,"Male",31840,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44.77129237735
2014,"2014",1,"Public",1,"Female",39277,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",55.22870762265
2013,"2013",0,"Private",0,"Male",53928,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",48.06117265411249
2013,"2013",0,"Private",1,"Female",58279,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",51.9388273458875
2013,"2013",1,"Public",0,"Male",30955,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",44.10549412971618
2013,"2013",1,"Public",1,"Female",39229,"Grand Rapids, MI","16000US2634000","grand-rapids-mi",55.89450587028383
