Date Reported,Fiscal Year,Department,Category,Sex,Race/Ethnicity,Value
07/01/2021 11:59:59 PM,2021,Total,Turnover Rate,Total,Toatl,0.0796
07/31/2021 11:59:59 PM,2021,Total,New Hires,Total,Total,102
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,Total,10
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,Total,8
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Female,White,7
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,Total,2
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Male,White,2
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,Black/African-American,1
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,Total,10
06/30/2014 11:59:00 PM,2014,311 Customer Service,Total Employees,Total,White,9
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,Asian,1
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,Total,8
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Female,White,7
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,Total,6
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Male,White,6
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,Asian,1
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,Black/African-American,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,Native American,0
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,Total,14
06/30/2014 11:59:00 PM,2014,Assessor,Total Employees,Total,White,13
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,Native American,1
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Female,White,8
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,Asian,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,Black/African-American,1
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,Native American,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,Total,4
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Male,White,3
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,Asian,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,Black/African-American,2
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,Native American,1
07/31/2021 11:59:59 PM,2021,Total,Turnover Rate,Total,Total,0.0796
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,Total,14
06/30/2014 11:59:00 PM,2014,City Attorney,Total Employees,Total,White,11
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,Asian,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,Black/African-American,1
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,Hispanic/Latino,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,Multiracial,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,Native American,0
06/30/2014 11:59:00 PM,2014,City Clerk,Total Employees,Female,Total,6
