"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error"
"Population 16 years and over with earnings","98,698","±1,314","50,429","±1,137","48,269","±1,055"
"Median earnings (dollars)","22,408","±633","25,373","±828","20,464","±722"
"Full-time, year-round workers with earnings","52,632","±1,240","29,260","±889","23,372","±874"
"$1 to $9,999 or loss","3.2%","±0.6","3.2%","±0.8","3.2%","±0.8"
"$10,000 to $14,999","5.1%","±0.6","4.8%","±0.7","5.5%","±1.0"
"$15,000 to $24,999","17.4%","±1.1","16.0%","±1.5","19.0%","±1.8"
"$25,000 to $34,999","21.2%","±1.1","20.0%","±1.7","22.6%","±1.8"
"$35,000 to $49,999","24.1%","±1.3","22.8%","±1.7","25.8%","±2.2"
"$50,000 to $64,999","14.1%","±1.1","14.8%","±1.5","13.2%","±1.6"
"$65,000 to $74,999","5.1%","±0.7","6.0%","±0.9","3.9%","±0.9"
"$75,000 to $99,999","5.1%","±0.7","6.1%","±1.0","3.9%","±0.8"
"$100,000 or more","4.7%","±0.6","6.3%","±1.1","2.8%","±0.7"
"Median earnings (dollars)","(X)","(X)","38,199","±1,644","34,753","±1,224"
"Mean earnings (dollars)","44,049","±1,084","47,938","±1,794","39,180","±1,077"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","29,296","±766","31,272","±573","26,662","±776"
"    Less than high school graduate","15,989","±968","16,708","±1,231","15,003","±1,696"
"    High school graduate (includes equivalency)","24,037","±1,932","26,449","±1,355","20,206","±1,604"
"    Some college or associate's degree","28,455","±1,418","31,160","±899","25,392","±1,318"
"    Bachelor's degree","37,500","±2,221","44,964","±3,245","33,911","±1,960"
"    Graduate or professional degree","55,884","±3,297","63,225","±3,570","50,751","±2,584"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","13.4%","(X)","(X)","(X)","(X)","(X)"
