"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Percent!!Estimate","Grand Rapids city, Michigan!!Percent!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Percent Male!!Estimate","Grand Rapids city, Michigan!!Percent Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error","Grand Rapids city, Michigan!!Percent Female!!Estimate","Grand Rapids city, Michigan!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","115,173","±1,612","115,173","±1,612","59,670","±1,413","59,670","±1,413","55,503","±1,192","55,503","±1,192"
"    Median earnings (dollars)","31,846","±792","(X)","(X)","35,421","±1,122","(X)","(X)","27,511","±1,043","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","67,420","±1,619","67,420","±1,619","37,490","±1,129","37,490","±1,129","29,930","±1,118","29,930","±1,118"
"        $1 to $9,999 or loss","1,400","±421","2.1%","±0.6","650","±224","1.7%","±0.6","750","±327","2.5%","±1.1"
"        $10,000 to $14,999","1,488","±298","2.2%","±0.4","628","±192","1.7%","±0.5","860","±203","2.9%","±0.7"
"        $15,000 to $24,999","6,923","±655","10.3%","±1.0","3,346","±435","8.9%","±1.2","3,577","±450","12.0%","±1.5"
"        $25,000 to $34,999","12,232","±914","18.1%","±1.2","6,281","±560","16.8%","±1.4","5,951","±680","19.9%","±2.0"
"        $35,000 to $49,999","15,754","±873","23.4%","±1.2","8,177","±626","21.8%","±1.5","7,577","±579","25.3%","±1.9"
"        $50,000 to $64,999","11,630","±801","17.3%","±1.1","6,668","±559","17.8%","±1.4","4,962","±536","16.6%","±1.6"
"        $65,000 to $74,999","5,243","±540","7.8%","±0.8","3,250","±377","8.7%","±1.0","1,993","±336","6.7%","±1.1"
"        $75,000 to $99,999","6,949","±603","10.3%","±0.8","4,363","±482","11.6%","±1.2","2,586","±358","8.6%","±1.2"
"        $100,000 or more","5,801","±550","8.6%","±0.8","4,127","±473","11.0%","±1.2","1,674","±301","5.6%","±1.0"
"        Median earnings (dollars) for full-time, year-round workers with earnings","44,938","±940","(X)","(X)","49,118","±1,771","(X)","(X)","42,177","±855","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","56,475","±1,504","(X)","(X)","61,306","±2,219","(X)","(X)","50,423","±1,656","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","37,947","±867","(X)","(X)","42,024","±1,366","(X)","(X)","33,853","±804","(X)","(X)"
"        Less than high school graduate","22,735","±2,114","(X)","(X)","26,481","±3,807","(X)","(X)","18,783","±3,448","(X)","(X)"
"        High school graduate (includes equivalency)","30,788","±1,748","(X)","(X)","35,109","±1,444","(X)","(X)","22,266","±2,877","(X)","(X)"
"        Some college or associate's degree","33,535","±1,102","(X)","(X)","38,803","±2,275","(X)","(X)","28,468","±1,682","(X)","(X)"
"        Bachelor's degree","47,162","±1,768","(X)","(X)","52,350","±3,162","(X)","(X)","44,027","±1,485","(X)","(X)"
"        Graduate or professional degree","57,495","±2,371","(X)","(X)","66,198","±5,746","(X)","(X)","54,108","±2,258","(X)","(X)"
