,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year
0,    Population 25 years and over with earnings,42895,1124,47268,1483,38428,1264,2022
1,        Less than high school graduate,26823,3708,33058,3779,21295,3492,2022
2,        High school graduate (includes equivalency),33742,2335,38888,2836,24740,4188,2022
3,        Some college or associate's degree,37495,1783,43033,2508,31823,2405,2022
4,        Bachelor's degree,54028,3139,61534,4341,48985,2053,2022
5,        Graduate or professional degree,64085,3358,72108,5438,60434,3073,2022
6,    Population 25 years and over with earnings,37947,867,42024,1366,33853,804,2021
7,        Less than high school graduate,22735,2114,26481,3807,18783,3448,2021
8,        High school graduate (includes equivalency),30788,1748,35109,1444,22266,2877,2021
9,        Some college or associate's degree,33535,1102,38803,2275,28468,1682,2021
10,        Bachelor's degree,47162,1768,52350,3162,44027,1485,2021
11,        Graduate or professional degree,57495,2371,66198,5746,54108,2258,2021
12,    Population 25 years and over with earnings,34525,978,38658,1576,31071,710,2020
13,        Less than high school graduate,21176,1103,24535,3821,16304,1683,2020
14,        High school graduate (includes equivalency),27661,1427,31195,1069,21625,1316,2020
15,        Some college or associate's degree,31405,961,37105,2069,25837,1613,2020
16,        Bachelor's degree,44215,1859,49811,2597,40727,1451,2020
17,        Graduate or professional degree,52554,2017,58561,5441,49982,3002,2020
18,    Population 25 years and over with earnings,32532,798,36597,966,30603,552,2019
19,        Less than high school graduate,20155,1402,23006,2813,15804,1683,2019
20,        High school graduate (includes equivalency),26208,1196,30065,1192,21451,1049,2019
21,        Some college or associate's degree,30391,805,33097,2390,26469,1177,2019
22,        Bachelor's degree,42612,1375,48493,2093,39190,1619,2019
23,        Graduate or professional degree,54320,1690,62007,4361,51096,1539,2019
24,    Population 25 years and over with earnings,31830,508,34800,1380,29800,877,2018
25,        Less than high school graduate,19029,1390,22078,1486,14415,1779,2018
26,        High school graduate (includes equivalency),25089,1504,28156,1655,20823,1280,2018
27,        Some college or associate's degree,29887,1123,32125,1458,26657,1417,2018
28,        Bachelor's degree,41099,1287,47115,2129,37040,1350,2018
29,        Graduate or professional degree,54178,1944,57500,5468,51160,2242,2018
30,    Population 25 years and over with earnings,30396,466,31992,607,27907,1010,2017
31,        Less than high school graduate,17116,1292,20190,1376,13576,1310,2017
32,        High school graduate (includes equivalency),24060,1500,26472,1109,20681,1380,2017
33,        Some college or associate's degree,28056,1169,30811,874,25550,1253,2017
34,        Bachelor's degree,40040,2393,45624,2302,35689,854,2017
35,        Graduate or professional degree,51465,1942,54850,3919,48348,2575,2017
36,    Population 25 years and over with earnings,29426,818,31333,688,26722,782,2016
37,        Less than high school graduate,16248,984,19417,1599,12473,1288,2016
38,        High school graduate (includes equivalency),21927,830,24892,2273,19375,1516,2016
39,        Some college or associate's degree,27635,985,30183,1206,25319,1395,2016
40,        Bachelor's degree,37547,2193,44713,2075,34646,1544,2016
41,        Graduate or professional degree,52101,2128,58838,6906,49099,3142,2016
42,    Population 25 years and over with earnings,28873,854,31110,592,26070,803,2015
43,        Less than high school graduate,15589,1098,17907,1961,12458,1299,2015
44,        High school graduate (includes equivalency),22546,1225,26300,1564,19606,1622,2015
45,        Some college or associate's degree,27287,1029,30230,1172,25109,1509,2015
46,        Bachelor's degree,37130,1402,42437,2012,34314,1494,2015
47,        Graduate or professional degree,52358,1933,60356,4763,49466,2412,2015
48,    Population 25 years and over with earnings,28842,777,31065,642,26504,833,2014
49,        Less than high school graduate,16095,1045,17253,1452,14197,1485,2014
50,        High school graduate (includes equivalency),22669,1466,26130,1155,19724,1759,2014
51,        Some college or associate's degree,27421,1110,30468,1159,25373,1547,2014
52,        Bachelor's degree,37016,1481,43740,2800,33863,1431,2014
53,        Graduate or professional degree,53144,2488,59181,4892,49648,2232,2014
54,    Population 25 years and over with earnings,28546,1040,30756,684,26312,1023,2013
55,        Less than high school graduate,16143,876,16679,1029,15073,1521,2013
56,        High school graduate (includes equivalency),23459,1384,26313,1253,20255,1442,2013
57,        Some college or associate's degree,27129,1053,30351,930,24430,1879,2013
58,        Bachelor's degree,36878,1745,43279,2826,33304,2019,2013
59,        Graduate or professional degree,54061,2447,60528,3797,49557,2478,2013
60,    Population 25 years and over with earnings,29296,766,31272,573,26662,776,2012
61,    Less than high school graduate,15989,968,16708,1231,15003,1696,2012
62,    High school graduate (includes equivalency),24037,1932,26449,1355,20206,1604,2012
63,    Some college or associate's degree,28455,1418,31160,899,25392,1318,2012
64,    Bachelor's degree,37500,2221,44964,3245,33911,1960,2012
65,    Graduate or professional degree,55884,3297,63225,3570,50751,2584,2012
66,    Population 25 years and over with earnings,28882,1037,31349,815,25931,843,2011
67,    Less than high school graduate,15653,852,16454,1086,13973,1892,2011
68,    High school graduate (includes equivalency),24068,1525,26667,1451,19708,1816,2011
69,    Some college or associate's degree,28004,1306,31512,875,24333,1226,2011
70,    Bachelor's degree,39003,2177,46449,3221,34271,1407,2011
71,    Graduate or professional degree,54623,2717,61835,5398,51261,2348,2011
72,    Population 25 years and over with earnings,28205,809,31247,735,25568,641,2010
73,    Less than high school graduate,16100,1075,17172,1193,13284,1845,2010
74,    High school graduate (includes equivalency),23011,1277,25795,1214,19101,2249,2010
75,    Some college or associate's degree,27329,1162,31427,1021,24140,1586,2010
76,    Bachelor's degree,38416,1786,45934,1880,33036,2006,2010
77,    Graduate or professional degree,54619,2799,60870,2949,50334,2757,2010
