,Date Reported,Fiscal Year,Department,Category,Sex,Race/Ethnicity,Value
0,2021-07-01,2021,Total,Turnover Rate,Total,Toatl,0.0796
1,2021-07-31,2021,Total,New Hires,Total,Total,102.0
2,2014-06-30,2014,311 Customer Service,Total Employees,Female,Asian,0.0
3,2014-06-30,2014,City Attorney,Total Employees,Female,Total,10.0
4,2014-06-30,2014,311 Customer Service,Total Employees,Female,Black/African-American,1.0
5,2014-06-30,2014,311 Customer Service,Total Employees,Female,Hispanic/Latino,0.0
6,2014-06-30,2014,311 Customer Service,Total Employees,Female,Multiracial,0.0
7,2014-06-30,2014,311 Customer Service,Total Employees,Female,Native American,0.0
8,2014-06-30,2014,311 Customer Service,Total Employees,Female,Total,8.0
9,2014-06-30,2014,311 Customer Service,Total Employees,Female,White,7.0
10,2014-06-30,2014,311 Customer Service,Total Employees,Male,Asian,0.0
11,2014-06-30,2014,311 Customer Service,Total Employees,Male,Black/African-American,0.0
12,2014-06-30,2014,311 Customer Service,Total Employees,Male,Hispanic/Latino,0.0
13,2014-06-30,2014,311 Customer Service,Total Employees,Male,Multiracial,0.0
14,2014-06-30,2014,311 Customer Service,Total Employees,Male,Native American,0.0
15,2014-06-30,2014,311 Customer Service,Total Employees,Male,Total,2.0
16,2014-06-30,2014,311 Customer Service,Total Employees,Male,White,2.0
17,2014-06-30,2014,311 Customer Service,Total Employees,Total,Asian,0.0
18,2014-06-30,2014,311 Customer Service,Total Employees,Total,Black/African-American,1.0
19,2014-06-30,2014,311 Customer Service,Total Employees,Total,Hispanic/Latino,0.0
20,2014-06-30,2014,311 Customer Service,Total Employees,Total,Multiracial,0.0
21,2014-06-30,2014,311 Customer Service,Total Employees,Total,Native American,0.0
22,2014-06-30,2014,311 Customer Service,Total Employees,Total,Total,10.0
23,2014-06-30,2014,311 Customer Service,Total Employees,Total,White,9.0
24,2014-06-30,2014,Assessor,Total Employees,Female,Asian,1.0
25,2014-06-30,2014,Assessor,Total Employees,Female,Black/African-American,0.0
26,2014-06-30,2014,Assessor,Total Employees,Female,Hispanic/Latino,0.0
27,2014-06-30,2014,Assessor,Total Employees,Female,Multiracial,0.0
28,2014-06-30,2014,Assessor,Total Employees,Female,Native American,0.0
29,2014-06-30,2014,Assessor,Total Employees,Female,Total,8.0
30,2014-06-30,2014,Assessor,Total Employees,Female,White,7.0
31,2014-06-30,2014,Assessor,Total Employees,Male,Asian,0.0
32,2014-06-30,2014,Assessor,Total Employees,Male,Black/African-American,0.0
33,2014-06-30,2014,Assessor,Total Employees,Male,Hispanic/Latino,0.0
34,2014-06-30,2014,Assessor,Total Employees,Male,Multiracial,0.0
35,2014-06-30,2014,Assessor,Total Employees,Male,Native American,0.0
36,2014-06-30,2014,Assessor,Total Employees,Male,Total,6.0
37,2014-06-30,2014,Assessor,Total Employees,Male,White,6.0
38,2014-06-30,2014,Assessor,Total Employees,Total,Asian,1.0
39,2014-06-30,2014,Assessor,Total Employees,Total,Black/African-American,0.0
40,2014-06-30,2014,Assessor,Total Employees,Total,Hispanic/Latino,0.0
41,2014-06-30,2014,Assessor,Total Employees,Total,Multiracial,0.0
42,2014-06-30,2014,Assessor,Total Employees,Total,Native American,0.0
43,2014-06-30,2014,Assessor,Total Employees,Total,Total,14.0
44,2014-06-30,2014,Assessor,Total Employees,Total,White,13.0
45,2014-06-30,2014,City Attorney,Total Employees,Female,Asian,0.0
46,2014-06-30,2014,City Attorney,Total Employees,Female,Black/African-American,1.0
47,2014-06-30,2014,City Attorney,Total Employees,Female,Hispanic/Latino,0.0
48,2014-06-30,2014,City Attorney,Total Employees,Female,Multiracial,0.0
49,2014-06-30,2014,City Attorney,Total Employees,Female,Native American,1.0
50,2014-06-30,2014,City Attorney,Total Employees,Female,White,8.0
51,2014-06-30,2014,City Attorney,Total Employees,Male,Asian,0.0
52,2014-06-30,2014,City Attorney,Total Employees,Male,Black/African-American,1.0
53,2014-06-30,2014,City Attorney,Total Employees,Male,Hispanic/Latino,0.0
54,2014-06-30,2014,City Attorney,Total Employees,Male,Multiracial,0.0
55,2014-06-30,2014,City Attorney,Total Employees,Male,Native American,0.0
56,2014-06-30,2014,City Attorney,Total Employees,Male,Total,4.0
57,2014-06-30,2014,City Attorney,Total Employees,Male,White,3.0
58,2014-06-30,2014,City Attorney,Total Employees,Total,Asian,0.0
59,2014-06-30,2014,City Attorney,Total Employees,Total,Black/African-American,2.0
60,2014-06-30,2014,City Attorney,Total Employees,Total,Hispanic/Latino,0.0
61,2014-06-30,2014,City Attorney,Total Employees,Total,Multiracial,0.0
62,2014-06-30,2014,City Attorney,Total Employees,Total,Native American,1.0
63,2021-07-31,2021,Total,Turnover Rate,Total,Total,0.0796
64,2014-06-30,2014,City Attorney,Total Employees,Total,Total,14.0
65,2014-06-30,2014,City Attorney,Total Employees,Total,White,11.0
66,2014-06-30,2014,City Clerk,Total Employees,Female,Asian,0.0
67,2014-06-30,2014,City Clerk,Total Employees,Female,Black/African-American,1.0
68,2014-06-30,2014,City Clerk,Total Employees,Female,Hispanic/Latino,0.0
69,2014-06-30,2014,City Clerk,Total Employees,Female,Multiracial,0.0
70,2014-06-30,2014,City Clerk,Total Employees,Female,Native American,0.0
71,2014-06-30,2014,City Clerk,Total Employees,Female,Total,6.0
72,2014-06-30,2014,City Clerk,Total Employees,Female,White,5.0
73,2014-06-30,2014,City Clerk,Total Employees,Total,Asian,0.0
74,2014-06-30,2014,City Clerk,Total Employees,Total,Black/African-American,1.0
75,2014-06-30,2014,City Clerk,Total Employees,Total,Hispanic/Latino,0.0
76,2014-06-30,2014,City Clerk,Total Employees,Total,Multiracial,0.0
77,2014-06-30,2014,City Clerk,Total Employees,Total,Native American,0.0
78,2014-06-30,2014,City Clerk,Total Employees,Total,Total,6.0
79,2014-06-30,2014,City Clerk,Total Employees,Total,White,5.0
80,2014-06-30,2014,City Retirement System Office,Total Employees,Female,Asian,0.0
