"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error"
"Population 16 years and over with earnings","102,487","±1,566","52,435","±1,183","50,052","±989"
"Median earnings (dollars)","21,930","±606","24,740","±1,121","19,707","±1,255"
"Full-time, year-round workers with earnings","52,821","±1,290","29,364","±982","23,457","±793"
"$1 to $9,999 or loss","3.0%","±0.6","2.5%","±0.8","3.6%","±0.9"
"$10,000 to $14,999","5.4%","±0.9","4.9%","±1.0","6.0%","±1.2"
"$15,000 to $24,999","18.1%","±1.2","17.0%","±1.6","19.5%","±1.6"
"$25,000 to $34,999","22.5%","±1.4","21.0%","±1.7","24.4%","±2.2"
"$35,000 to $49,999","23.5%","±1.2","22.3%","±1.5","25.1%","±2.2"
"$50,000 to $64,999","13.6%","±1.0","15.2%","±1.5","11.7%","±1.5"
"$65,000 to $74,999","4.5%","±0.5","5.2%","±0.8","3.6%","±0.6"
"$75,000 to $99,999","5.1%","±0.6","5.9%","±0.9","4.1%","±0.9"
"$100,000 or more","4.2%","±0.5","6.0%","±0.8","1.9%","±0.6"
"Median earnings (dollars)","(X)","(X)","37,380","±1,316","33,068","±1,122"
"Mean earnings (dollars)","43,300","±1,027","47,698","±1,782","37,794","±940"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","28,205","±809","31,247","±735","25,568","±641"
"    Less than high school graduate","16,100","±1,075","17,172","±1,193","13,284","±1,845"
"    High school graduate (includes equivalency)","23,011","±1,277","25,795","±1,214","19,101","±2,249"
"    Some college or associate's degree","27,329","±1,162","31,427","±1,021","24,140","±1,586"
"    Bachelor's degree","38,416","±1,786","45,934","±1,880","33,036","±2,006"
"    Graduate or professional degree","54,619","±2,799","60,870","±2,949","50,334","±2,757"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","12.3%","(X)","(X)","(X)","(X)","(X)"
