"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Percent!!Estimate","Grand Rapids city, Michigan!!Percent!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Percent Male!!Estimate","Grand Rapids city, Michigan!!Percent Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error","Grand Rapids city, Michigan!!Percent Female!!Estimate","Grand Rapids city, Michigan!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","116,002","±1,921","116,002","±1,921","59,669","±1,321","59,669","±1,321","56,333","±1,334","56,333","±1,334"
"    Median earnings (dollars)","35,865","±797","(X)","(X)","40,405","±1,133","(X)","(X)","31,363","±1,440","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","69,603","±1,601","69,603","±1,601","38,535","±1,181","38,535","±1,181","31,068","±1,189","31,068","±1,189"
"        $1 to $9,999 or loss","1,371","±419","2.0%","±0.6","657","±227","1.7%","±0.6","714","±327","2.3%","±1.1"
"        $10,000 to $14,999","1,299","±396","1.9%","±0.6","578","±268","1.5%","±0.7","721","±275","2.3%","±0.9"
"        $15,000 to $24,999","5,535","±682","8.0%","±1.0","3,072","±493","8.0%","±1.3","2,463","±400","7.9%","±1.3"
"        $25,000 to $34,999","9,398","±780","13.5%","±1.1","4,588","±432","11.9%","±1.1","4,810","±582","15.5%","±1.7"
"        $35,000 to $49,999","16,674","±1,100","24.0%","±1.4","8,451","±678","21.9%","±1.6","8,223","±832","26.5%","±2.4"
"        $50,000 to $64,999","12,051","±813","17.3%","±1.1","6,203","±627","16.1%","±1.5","5,848","±653","18.8%","±1.9"
"        $65,000 to $74,999","6,493","±701","9.3%","±1.0","3,887","±489","10.1%","±1.2","2,606","±420","8.4%","±1.3"
"        $75,000 to $99,999","9,002","±840","12.9%","±1.2","5,633","±609","14.6%","±1.5","3,369","±462","10.8%","±1.5"
"        $100,000 or more","7,780","±582","11.2%","±0.8","5,466","±510","14.2%","±1.3","2,314","±312","7.4%","±1.0"
"        Median earnings (dollars) for full-time, year-round workers with earnings","50,505","±1,145","(X)","(X)","54,310","±2,301","(X)","(X)","47,010","±1,165","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","61,621","±1,480","(X)","(X)","66,504","±2,130","(X)","(X)","55,565","±1,651","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,895","±1,124","(X)","(X)","47,268","±1,483","(X)","(X)","38,428","±1,264","(X)","(X)"
"        Less than high school graduate","26,823","±3,708","(X)","(X)","33,058","±3,779","(X)","(X)","21,295","±3,492","(X)","(X)"
"        High school graduate (includes equivalency)","33,742","±2,335","(X)","(X)","38,888","±2,836","(X)","(X)","24,740","±4,188","(X)","(X)"
"        Some college or associate's degree","37,495","±1,783","(X)","(X)","43,033","±2,508","(X)","(X)","31,823","±2,405","(X)","(X)"
"        Bachelor's degree","54,028","±3,139","(X)","(X)","61,534","±4,341","(X)","(X)","48,985","±2,053","(X)","(X)"
"        Graduate or professional degree","64,085","±3,358","(X)","(X)","72,108","±5,438","(X)","(X)","60,434","±3,073","(X)","(X)"
