Year Start,Year End,Year,Pct earning above ALICE threshold,Race/Ethnicity
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,0.68,White
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,0.33,Black/AA
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,0.6,Asian
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,0.43,Two or More
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,0.39,Hispanic
01/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,2017,0.48,Total
01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,2015,0.49,Total
01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,2012,0.49,Total
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.69,White
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.38,Black/AA
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.64,Asian
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.45,Two or More
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.46,Hispanic
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.54,Indian
01/01/2019 12:00:00 AM,12/31/2019 12:00:00 PM,2019,0.51,Total
