Name,Variable,Variable Code,Date,Value,Row ID,Geography ID,Geography Type,Location
"Kent County, MI",Employment,05,01/01/2013 12:00:00 AM,298364,LAUCN260810000000005_20130101,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,02/01/2013 12:00:00 AM,301651,LAUCN260810000000005_20130201,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,03/01/2013 12:00:00 AM,302103,LAUCN260810000000005_20130301,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,04/01/2013 12:00:00 AM,304720,LAUCN260810000000005_20130401,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,05/01/2013 12:00:00 AM,307792,LAUCN260810000000005_20130501,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,06/01/2013 12:00:00 AM,309057,LAUCN260810000000005_20130601,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,07/01/2013 12:00:00 AM,306250,LAUCN260810000000005_20130701,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,08/01/2013 12:00:00 AM,308046,LAUCN260810000000005_20130801,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,09/01/2013 12:00:00 AM,307374,LAUCN260810000000005_20130901,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,10/01/2013 12:00:00 AM,306742,LAUCN260810000000005_20131001,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,11/01/2013 12:00:00 AM,311340,LAUCN260810000000005_20131101,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,12/01/2013 12:00:00 AM,311105,LAUCN260810000000005_20131201,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,01/01/2014 12:00:00 AM,310767,LAUCN260810000000005_20140101,26081,county,POINT (-85.547446 43.032497)
"Kent County, MI",Employment,05,02/01/2014 12:00:00 AM,313263,LAUCN260810000000005_20140201,26081,county,POINT (-85.547446 43.032497)
