,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year
0,Population 16 years and over with earnings,116002,1921,59669,1321,56333,1334,2022
1,    Median earnings (dollars),35865,797,40405,1133,31363,1440,2022
2,Population 16 years and over with earnings,115173,1612,59670,1413,55503,1192,2021
3,    Median earnings (dollars),31846,792,35421,1122,27511,1043,2021
4,Population 16 years and over with earnings,115411,1619,59950,1218,55461,1299,2020
5,    Median earnings (dollars),29013,1039,32094,1034,25070,1033,2020
6,Population 16 years and over with earnings,114798,1184,59736,1179,55062,1061,2019
7,    Median earnings (dollars),27482,631,30580,528,24431,961,2019
8,Population 16 years and over with earnings,112169,1253,57866,1245,54303,978,2018
9,    Median earnings (dollars),26368,643,28988,1103,23325,884,2018
10,Population 16 years and over with earnings,109382,1280,56200,873,53182,1169,2017
11,    Median earnings (dollars),24582,654,26712,640,22054,698,2017
12,Population 16 years and over with earnings,105605,1455,53952,1000,51653,1114,2016
13,Median earnings (dollars),22721,815,25904,759,20598,674,2016
14,Population 16 years and over with earnings,102389,1297,51931,1116,50458,830,2015
15,Median earnings (dollars),22353,471,25935,659,20115,564,2015
16,Population 16 years and over with earnings,99381,1275,50111,970,49270,890,2014
17,Median earnings (dollars),22169,443,25525,608,20236,665,2014
18,Population 16 years and over with earnings,98362,1411,50093,931,48269,1065,2013
19,Median earnings (dollars),22161,581,25097,924,20540,750,2013
20,Population 16 years and over with earnings,98698,1314,50429,1137,48269,1055,2012
21,Median earnings (dollars),22408,633,25373,828,20464,722,2012
22,Population 16 years and over with earnings,100649,1226,51302,1086,49347,957,2011
23,Median earnings (dollars),22160,548,24763,1077,20128,790,2011
24,Population 16 years and over with earnings,102487,1566,52435,1183,50052,989,2010
25,Median earnings (dollars),21930,606,24740,1121,19707,1255,2010
