,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year
0,"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",69603.0,1601.0,38535.0,1181.0,31068.0,1189.0,2022
1,"        $1 to $9,999 or loss",2.0,6.0,1.7,6.0,2.3,11.0,2022
2,"        $10,000 to $14,999",1.9,6.0,1.5,7.0,2.3,9.0,2022
3,"        $15,000 to $24,999",8.0,10.0,8.0,13.0,7.9,13.0,2022
4,"        $25,000 to $34,999",13.5,11.0,11.9,11.0,15.5,17.0,2022
5,"        $35,000 to $49,999",24.0,14.0,21.9,16.0,26.5,24.0,2022
6,"        $50,000 to $64,999",17.3,11.0,16.1,15.0,18.8,19.0,2022
7,"        $65,000 to $74,999",9.3,10.0,10.1,12.0,8.4,13.0,2022
8,"        $75,000 to $99,999",12.9,12.0,14.6,15.0,10.8,15.0,2022
9,"        $100,000 or more",11.2,8.0,14.2,13.0,7.4,10.0,2022
10,"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",67420.0,1619.0,37490.0,1129.0,29930.0,1118.0,2021
11,"        $1 to $9,999 or loss",2.1,6.0,1.7,6.0,2.5,11.0,2021
12,"        $10,000 to $14,999",2.2,4.0,1.7,5.0,2.9,7.0,2021
13,"        $15,000 to $24,999",10.3,10.0,8.9,12.0,12.0,15.0,2021
14,"        $25,000 to $34,999",18.1,12.0,16.8,14.0,19.9,20.0,2021
15,"        $35,000 to $49,999",23.4,12.0,21.8,15.0,25.3,19.0,2021
16,"        $50,000 to $64,999",17.3,11.0,17.8,14.0,16.6,16.0,2021
17,"        $65,000 to $74,999",7.8,8.0,8.7,10.0,6.7,11.0,2021
18,"        $75,000 to $99,999",10.3,8.0,11.6,12.0,8.6,12.0,2021
19,"        $100,000 or more",8.6,8.0,11.0,12.0,5.6,10.0,2021
20,"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",66634.0,1881.0,37139.0,1328.0,29495.0,1153.0,2020
21,"        $1 to $9,999 or loss",2.1,5.0,1.3,6.0,3.0,12.0,2020
22,"        $10,000 to $14,999",2.9,5.0,2.4,6.0,3.5,8.0,2020
23,"        $15,000 to $24,999",12.8,10.0,10.6,11.0,15.4,15.0,2020
24,"        $25,000 to $34,999",20.0,12.0,19.6,16.0,20.5,19.0,2020
25,"        $35,000 to $49,999",22.7,12.0,21.0,17.0,24.8,19.0,2020
26,"        $50,000 to $64,999",17.1,11.0,18.3,17.0,15.6,16.0,2020
27,"        $65,000 to $74,999",6.9,11.0,7.5,17.0,6.2,10.0,2020
28,"        $75,000 to $99,999",8.6,8.0,10.4,11.0,6.4,10.0,2020
29,"        $100,000 or more",6.9,7.0,8.9,9.0,4.5,10.0,2020
30,"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",66116.0,1275.0,37557.0,1002.0,28559.0,943.0,2019
31,"        $1 to $9,999 or loss",1.8,4.0,1.6,6.0,2.2,6.0,2019
32,"        $10,000 to $14,999",3.6,6.0,2.9,6.0,4.6,9.0,2019
33,"        $15,000 to $24,999",14.7,9.0,13.6,12.0,16.3,13.0,2019
34,"        $25,000 to $34,999",20.5,11.0,19.8,14.0,21.4,17.0,2019
