Reporting Period Start Date,Reporting Period End Date,Category,Subcategory,Number of Events,People in Attendance
10/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Parks and Recreation,Millage - Reopening events,2,95
04/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Parks and Recreation,Millage - Reopening events,1,45
04/01/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Parks and Recreation,Recreation events,1,220
07/01/2017 12:00:00 AM,09/30/2017 12:00:00 AM,Parks and Recreation,Millage - Reopening events,1,100
07/01/2017 12:00:00 AM,09/30/2017 12:00:00 AM,Parks and Recreation,Recreation events,10,271
10/01/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Parks and Recreation,Recreation events,1,100
04/01/2018 12:00:00 AM,06/30/2018 12:00:00 AM,Parks and Recreation,Millage - Reopening events,2,95
04/01/2018 12:00:00 AM,06/30/2018 12:00:00 AM,Parks and Recreation,Recreation events,1,126
07/01/2018 12:00:00 AM,09/30/2018 12:00:00 AM,Parks and Recreation,Millage - Reopening events,2,150
07/01/2018 12:00:00 AM,09/30/2018 12:00:00 AM,Parks and Recreation,Recreation events,11,471
10/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Parks and Recreation,Millage - Reopening events,1,30
10/01/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Parks and Recreation,Recreation events,2,100
04/01/2019 12:00:00 AM,06/30/2019 12:00:00 AM,Parks and Recreation,Millage - Planning,6,238
04/01/2019 12:00:00 AM,06/30/2019 12:00:00 AM,Parks and Recreation,Recreation events,2,166
07/01/2019 12:00:00 AM,09/30/2019 12:00:00 AM,Parks and Recreation,Millage - Planning,21,657
07/01/2019 12:00:00 AM,09/30/2019 12:00:00 AM,Parks and Recreation,Millage - Reopening events,1,50
07/01/2019 12:00:00 AM,09/30/2019 12:00:00 AM,Parks and Recreation,Recreation events,12,582
10/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Parks and Recreation,Millage - Planning,5,208
10/01/2019 12:00:00 AM,12/31/2019 12:00:00 AM,Parks and Recreation,Millage - Reopening events,1,30
01/01/2020 12:00:00 AM,03/31/2020 12:00:00 AM,Parks and Recreation,Millage - Planning,2,68
01/01/2020 12:00:00 AM,03/31/2020 12:00:00 AM,Parks and Recreation,Recreation events,1,75
07/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,Parks and Recreation,Millage - Planning,4,44
07/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,Parks and Recreation,Recreation events,1,300
10/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Parks and Recreation,Millage - Planning,1,55
10/01/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Parks and Recreation,Recreation events,1,100
01/01/2021 12:00:00 AM,03/30/2021 12:00:00 AM,Parks and Recreation,Recreation,5,293
01/01/2021 12:00:00 AM,03/30/2021 12:00:00 AM,Parks and Recreation,Millage - planning,2,35
04/01/2021 12:00:00 AM,06/30/2021 12:00:00 AM,Parks and Recreation,Recreation,,
04/01/2021 12:00:00 AM,06/30/2021 12:00:00 AM,Parks and Recreation,Millage - planning,11,252
04/01/2021 12:00:00 AM,06/30/2021 12:00:00 AM,Parks and Recreation,Parks Master Plan,12,418
07/01/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Parks and Recreation,Millage - planning,13,273
07/01/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Parks and Recreation,Parks Master Plan,4,181
07/01/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Parks and Recreation,Recreation,3,
07/01/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Parks and Recreation,Millage - reopening events,2,100
